time,price,load_kwh,pv_kwh,grid_purchase_kwh,charge_kwh,discharge_kwh,soc_kwh,curtailment_kwh,balance_residual_kwh
0:10-0:20,0.4248,573.3077666666666,0.0,1406.6410999999998,833.3333333333333,0.0,6790.569415042095,0.0,0.0
0:20-0:30,0.4245,572.9965333333333,0.0,1406.3298666666665,833.3333333333333,0.0,7581.13883008419,0.0,-1.1368683772161603e-13
0:30-0:40,0.4269,574.0505166666667,0.0,1407.38385,833.3333333333333,0.0,8371.708245126285,0.0,0.0
0:40-0:50,0.4272,575.7406166666666,0.0,1409.07395,833.3333333333333,0.0,9162.27766016838,0.0,1.1368683772161603e-13
0:50-1:00,0.4271,576.4712166666666,0.0,1409.8045499999998,833.3333333333333,0.0,9952.847075210475,0.0,0.0
1:00-1:10,0.4285,576.6400166666666,0.0,576.6400166666666,0.0,0.0,9952.847075210475,0.0,0.0
1:10-1:20,0.4311,577.8597,0.0,577.8597,0.0,0.0,9952.847075210475,0.0,0.0
1:20-1:30,0.4302,577.9938666666667,0.0,577.9938666666667,0.0,0.0,9952.847075210475,0.0,0.0
1:30-1:40,0.4279,577.82805,0.0,637.4723062694059,59.64425626940595,0.0,10009.430584957905,0.0,-4.973799150320701e-14
1:40-1:50,0.4312,580.41545,0.0,580.41545,0.0,0.0,10009.430584957905,0.0,0.0
1:50-2:00,0.4333,582.5140166666666,0.0,582.5140166666666,0.0,0.0,10009.430584957905,0.0,0.0
2:00-2:10,0.4311,583.0740499999999,0.0,583.0740499999999,0.0,0.0,10009.430584957905,0.0,0.0
2:10-2:20,0.4293,584.2049166666666,0.0,584.2049166666666,0.0,0.0,10009.430584957905,0.0,0.0
2:20-2:30,0.4324,585.4397833333333,0.0,585.4397833333333,0.0,0.0,10009.430584957905,0.0,0.0
2:30-2:40,0.4367,586.1447499999999,0.0,586.1447499999999,0.0,0.0,10009.430584957905,0.0,0.0
2:40-2:50,0.4348,586.3207666666666,0.0,586.3207666666666,0.0,0.0,10009.430584957905,0.0,0.0
2:50-3:00,0.4335,586.4253,0.0,586.4253,0.0,0.0,10009.430584957905,0.0,0.0
3:00-3:10,0.4357,586.8496,0.0,586.8496,0.0,0.0,10009.430584957905,0.0,0.0
3:10-3:20,0.4374,587.8210166666667,0.0,587.8210166666667,0.0,0.0,10009.430584957905,0.0,0.0
3:20-3:30,0.4371,589.5475666666666,0.0,589.5475666666666,0.0,0.0,10009.430584957905,0.0,0.0
3:30-3:40,0.4356,590.8134666666666,0.0,590.8134666666666,0.0,0.0,10009.430584957905,0.0,0.0
3:40-3:50,0.4353,590.2131166666666,0.0,590.2131166666666,0.0,0.0,10009.430584957905,0.0,0.0
3:50-4:00,0.436,591.0662666666666,0.0,591.0662666666666,0.0,0.0,10009.430584957905,0.0,0.0
4:00-4:10,0.4378,593.3678333333332,0.0,593.3678333333332,0.0,0.0,10009.430584957905,0.0,0.0
4:10-4:20,0.4401,593.6596833333333,0.0,593.6596833333333,0.0,0.0,10009.430584957905,0.0,0.0
4:20-4:30,0.4389,592.7863833333333,0.0,592.7863833333333,0.0,0.0,10009.430584957905,0.0,0.0
4:30-4:40,0.4364,593.3378666666666,0.0,593.3378666666666,0.0,0.0,10009.430584957905,0.0,0.0
4:40-4:50,0.4393,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,10009.430584957905,0.0,0.0
4:50-5:00,0.4422,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,10009.430584957905,0.0,0.0
5:00-5:10,0.4395,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,10009.430584957905,0.0,0.0
5:10-5:20,0.4333,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,10009.430584957905,0.0,0.0
5:20-5:30,0.4439,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,10009.430584957905,0.0,0.0
5:30-5:40,0.4301,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,10009.430584957905,0.0,0.0
5:40-5:50,0.3713,581.0198333333333,30.693383333333333,1383.659783333333,833.3333333333333,0.0,10800.0,0.0,-2.2737367544323206e-13
5:50-6:00,0.5708,637.3165666666666,46.17636666666667,1.893918988571386e-05,0.0,591.14018106081,10176.883537134503,0.0,0.0
6:00-6:10,0.9099,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333332,9472.482094939247,0.0,0.0
