metric,value,unit,meaning
grid_purchase_kwh,57526.24347877915,kWh,全天计划购电量合计
purchase_cost_yuan,33801.495543222,yuan,全天购电费
curtailment_kwh,0.0,kWh,全天弃光量
throughput_kwh,37701.14986347064,kWh,充放电吞吐量 Q=sum(c+d)
soc_min_kwh,1200.0,kWh,SOC 最小值含 E0
soc_max_kwh,10800.0,kWh,SOC 最大值含 E0
E0_kwh,6000.0,kWh,0:00 储电量
E144_kwh,6000.0,kWh,24:00 储电量
max_balance_residual_kwh,2.2737367544323206e-13,kWh,能量平衡残差绝对值最大
max_simultaneous_charge_discharge,0.0,kWh^2,max(c_t * d_t)
eta_rt,0.9,1,主方案往返效率
eta_c,0.9486832980505138,1,sqrt(0.9)
eta_d,0.9486832980505138,1,sqrt(0.9)
c_max_kwh,833.3333333333333,kWh,每时段充电上限 5000*Delta
d_max_kwh,833.3333333333333,kWh,每时段放电上限
eps_C,1e-06,yuan,词典序成本容差
