date,variant,selected_k,risk_alpha,risk_q_floor_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_q_kwh,planned_q_sha256,day_ahead_virtual_next_day_value_yuan,actual_x_kwh,unused_plan_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,max_x_minus_q_kwh,mean_mpc_solve_seconds,total_mpc_solve_seconds,terminal_virtual_next_day_value_yuan,estimated_334_day_runtime_hours,pass,effective_scenario_count
2025-01-01,fixed_k8_rolling_risk_quantile,1,,0.0,34886.96347102393,137976.12297302607,172863.08644405002,60085.88773715367,f6e9397008a93f4f2e686a120e86ba596293de38b0618676ef28c72e9ea741d8,30602.704684660228,60064.67043574818,21.217301405490957,36788.27004909357,0.0,6000.0,8110.865510770157,2.2737367544323206e-13,0.0,0.0,0.014043858192962944,2.022315579786664,30745.54399034483,0.18762594545798492,True,1
2025-01-02,fixed_k8_rolling_risk_quantile,1,,0.0,72451.0156160491,2202.5677616305907,74653.5833776797,111387.48831119042,1a8a63332c818c2ebeb61b6f82a836d4059e887e1bc8ef7bf0d8846aa73304e9,69117.02845226438,94959.77045073087,16427.717860459547,681.6322270903876,162.7667,8110.865510770157,8460.773572297821,1.7053025658242404e-12,0.0,0.0,0.013901354429536796,2.0017950378532987,69102.48379224094,0.1857220951786116,True,1
2025-01-03,fixed_k8_rolling_risk_quantile,1,,0.0,72576.78545334458,0.0,72576.78545334458,111300.5662226817,b85c656e383fea2d798706471a0773517bbcf5cd44561d1ecf9e4f0ab0bca66c,69400.18225526938,57071.98970416741,54228.57651851427,0.0,8309.696616666664,8460.773572297821,10799.999999751853,1.3500311979441904e-13,0.0,0.0,0.013304405362658953,1.9158343722228892,68359.56332043617,0.1777468556451236,True,1
2025-01-04,fixed_k8_rolling_risk_quantile,1,,0.0,59374.450581526806,1.262005505111574e-07,59374.45058165301,92866.19002556067,410ed57747ac2d0ececc3b9f74032a5bd6cd3ba5594b7dbbcf04cc8742db369e,57223.799039355166,52672.61564648943,40193.57437907124,5.9027385646004404e-08,7020.67762118079,10799.999999751853,10681.172146270479,1.4210854715202004e-13,0.0,0.0,0.012903959478232233,1.8581701648654416,56233.16488643232,0.17239689862918264,True,1
2025-01-05,fixed_k8_rolling_risk_quantile,1,,0.0,59216.442797804186,3487.7479210798006,62704.19071888398,92564.17451161274,510d18e9f33324425c86973095b873d989da081eaf66bca6ac0d6996cb1ec40f,57015.7984312217,90079.25196562402,2484.922545988725,1133.5787709535548,0.0039833333333333335,10681.172146270479,8355.938454917909,1.7053025658242404e-12,0.0,0.0,0.013007116627300598,1.873024794331286,57048.35684540851,0.17377507814073598,True,1
2025-01-06,fixed_k8_rolling_risk_quantile,1,,0.0,59101.66816359169,4674.900977583132,63776.56914117482,93567.77152035321,b110068c5a7549b9a04c4ec99ead6fba4dff7c3a01b56ce9252b769758f394ec,55878.08569598883,91980.9440439044,1586.82747644882,1320.027135641351,0.0,8355.938454917909,8439.007312540829,2.2737367544323206e-13,0.0,0.0,0.01304107435478525,1.8779147070890758,55873.28749947158,0.17422875337993093,True,1
2025-01-07,fixed_k8_rolling_risk_quantile,1,,0.0,58884.408546394305,12393.903761628228,71278.31230802253,93163.08503710544,a4d2b44a52d119fb2f0a505c6cfe95df16365db96b5de320a5c53dc0a035ecf5,68299.72480638664,91574.30277709119,1588.78226001425,3703.4312155711814,0.0,8439.007312540829,8518.544983030455,1.7053025658242404e-12,0.0,0.0,0.012979864036525315,1.8691004212596454,68259.31134975885,0.1734109835279782,True,1
2025-01-08,fixed_k8_rolling_risk_quantile,1,,0.0,71609.08278783591,60.069405519975064,71669.15219335588,109628.41640928839,8d7bd28aca9f519b47479c8d68842136b11a98576c4d5c00863b914dcc7237dd,68711.3509029466,92333.59568708719,17294.82072220119,28.23331672667995,0.0023,8518.544983030455,9242.143712947072,2.2737367544323206e-13,0.0,0.0,0.013391278972954347,1.928344172105426,68346.93284294894,0.17890748707867007,True,1
2025-01-09,fixed_k8_rolling_risk_quantile,1,,0.0,71406.85908543615,24.591695201190156,71431.45078063734,108963.90943695782,38287f84ac1508dbc33493d66d1e9c515b3d97646a9add16d8ec65a3acfa22ad,31898.632848713456,93090.52563546109,15873.383801496742,5.940740476190399,0.0023,9242.143712947072,9159.757240606938,2.2737367544323206e-13,0.0,0.0,0.012914904493098019,1.8597462470061146,31571.09831850966,0.1725431240277895,True,1
2025-01-10,fixed_k8_rolling_risk_quantile,1,,0.0,34656.03719702203,0.0,34656.03719702203,62724.91885386174,9fdb339a26fb60bcd7c0d883076a0346a145bc4db71eb0415938448282b4a161,31919.434345436817,49665.71284293981,13059.206010921931,0.0,2429.3712251851885,9159.757240606938,9323.699207058438,2.2737367544323206e-13,0.0,0.0,0.012817020582183937,1.845650963834487,31518.523277372067,0.1712353949779774,True,1
