calibration_date,history_cutoff_date,candidate_k,selected_k,effective_start_date,effective_end_date,mean_validation_cost_yuan,standard_error_yuan,validation_days,emergency_purchase_kwh,mean_solve_seconds,within_time_limit,candidate_selected,selected,fallback_reason
2025-01-01,none,1,1,2025-01-01,2025-01-14,,,0,,,True,True,True,no_complete_prior_residual_pool
2025-01-15,2025-01-14,1,1,2025-01-15,2025-01-28,56963.79828466971,3978.6917048509044,13,6752.25557619753,0.016837477460145377,True,True,True,K=1_early_pool_fallback
2025-01-29,2025-01-28,2,4,2025-01-29,2025-02-11,54563.1250916295,4328.729626737603,14,3278.0345724784893,0.023134109930002263,True,False,False,
2025-01-29,2025-01-28,4,4,2025-01-29,2025-02-11,51848.16578331792,3981.877553514388,14,3672.995262260947,0.03728266957166072,True,True,True,
2025-01-29,2025-01-28,6,4,2025-01-29,2025-02-11,50150.69998993637,3657.158262863054,14,2969.6660745055087,0.055947026782502816,True,False,False,
2025-01-29,2025-01-28,8,4,2025-01-29,2025-02-11,49447.940048030876,3994.854000994023,14,3024.643379642495,0.07365882742825695,True,False,False,
2025-01-29,2025-01-28,10,4,2025-01-29,2025-02-11,51740.95160351834,4433.951306230378,14,2563.812908347074,0.09059560992630265,True,False,False,
2025-01-29,2025-01-28,12,4,2025-01-29,2025-02-11,53848.471817891485,4316.788073507264,14,474.57898322376707,0.10993195827385145,True,False,False,
2025-02-12,2025-02-11,2,2,2025-02-12,2025-02-25,41672.75077234244,4106.171932493787,14,978.2804436343982,0.023304616144741885,True,True,True,
2025-02-12,2025-02-11,4,2,2025-02-12,2025-02-25,42017.74563615951,4109.491928055307,14,67.80390827582998,0.03845523521678323,True,False,False,
2025-02-12,2025-02-11,6,2,2025-02-12,2025-02-25,42173.07503156259,4115.483679710985,14,91.12530542265311,0.05799466978974773,True,False,False,
2025-02-12,2025-02-11,8,2,2025-02-12,2025-02-25,42141.91593619704,4106.52203597478,14,9.88756290356025,0.07501465771305707,True,False,False,
2025-02-12,2025-02-11,10,2,2025-02-12,2025-02-25,42106.76668262836,4120.93259150256,14,14.189538080576707,0.10773539885745517,True,False,False,
2025-02-12,2025-02-11,12,2,2025-02-12,2025-02-25,42108.162150541204,4121.7074444692835,14,16.318761197470348,0.12720741671468463,True,False,False,
2025-02-26,2025-02-25,2,2,2025-02-26,2025-03-11,37166.19741987174,3752.6793733885324,14,1892.067390176966,0.04203669936188297,True,True,True,
2025-02-26,2025-02-25,4,2,2025-02-26,2025-03-11,37046.70249115214,3765.9177827151293,14,1276.8976501558993,0.04463743171904103,True,False,False,
2025-02-26,2025-02-25,6,2,2025-02-26,2025-03-11,37016.2868749212,3759.4967933021885,14,1168.5477631388126,0.05949446121355452,True,False,False,
2025-02-26,2025-02-25,8,2,2025-02-26,2025-03-11,37054.78517984856,3773.0182813778215,14,1167.5003881925136,0.08087277084996458,True,False,False,
2025-02-26,2025-02-25,10,2,2025-02-26,2025-03-11,37053.62369307958,3778.0844526405435,14,1183.1667739409659,0.09980334828807307,True,False,False,
2025-02-26,2025-02-25,12,2,2025-02-26,2025-03-11,36967.2432875404,3767.3916801964933,14,1157.9254937688129,0.1241810594988887,True,False,False,
