date,normal_purchase_cost_yuan,emergency_cost_yuan,total_cost_yuan,normal_purchase_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_balance_residual_kwh,max_simultaneous_cd_kwh2,solve_seconds,pass
2025-01-01,57585.67090173129,0.0,57585.67090173129,89653.5829820215,0.0,0.0,6000.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.012808250001398847,True
2025-01-02,60489.04066232024,0.0,60489.04066232024,95565.10620310572,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005477333994349465,True
2025-01-03,24625.239084871617,0.0,24625.239084871617,47579.17665806331,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005169625015696511,True
2025-01-04,24441.480442522465,0.0,24441.480442522465,46846.34479084109,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005133875005412847,True
2025-01-05,59252.5747246842,0.0,59252.5747246842,93711.85370435962,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005227499990724027,True
2025-01-06,58971.51128880051,0.0,58971.51128880051,93272.04489324849,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.00511354100308381,True
2025-01-07,60153.15906859326,0.0,60153.15906859326,95245.26722903166,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005071332998340949,True
2025-01-08,58218.58618096883,0.0,58218.58618096883,92170.30465621146,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.00509037499432452,True
2025-01-09,59242.36262464855,0.0,59242.36262464855,93765.84404940202,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005103750008856878,True
2025-01-10,24630.036136614166,0.0,24630.036136614166,47585.677445100344,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005103250005049631,True
2025-01-11,24304.482493437914,0.0,24304.482493437914,46949.15637102628,0.0,0.0,1200.0,1200.0,1200.0,10800.0,1.1368683772161603e-13,0.0,0.005128666991367936,True
2025-01-12,58918.72615791144,0.0,58918.72615791144,93534.97530806331,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005141749978065491,True
2025-01-13,56960.89334679955,0.0,56960.89334679955,90901.5088969522,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.007279833022039384,True
2025-01-14,57819.37897216029,0.0,57819.37897216029,91933.19282658183,0.0,0.0,1200.0,1200.0,1200.0,10800.0,2.2737367544323206e-13,0.0,0.005257332988549024,True
