date,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,selected_k,forecast_fallback,k_fallback,max_balance_residual_kwh,max_simultaneous_cd_kwh2,pass
2025-01-01,6000.0,8110.865510770157,34886.96347102393,137976.12297302607,172863.08644405002,1,True,True,2.2737367544323206e-13,0.0,True
2025-01-02,8110.865510770157,8460.773572297821,72451.0156160491,2202.5677616305907,74653.5833776797,1,True,True,1.7053025658242404e-12,0.0,True
2025-01-03,8460.773572297821,10799.999999751853,72576.78545334458,0.0,72576.78545334458,1,True,True,1.3500311979441904e-13,0.0,True
2025-01-04,10799.999999751853,10681.172146270479,59374.450581526806,1.262005505111574e-07,59374.45058165301,1,True,True,1.4210854715202004e-13,0.0,True
2025-01-05,10681.172146270479,8355.938454917909,59216.442797804186,3487.7479210798006,62704.19071888398,1,True,True,1.7053025658242404e-12,0.0,True
2025-01-06,8355.938454917909,8439.007312540829,59101.66816359169,4674.900977583132,63776.56914117482,1,True,True,2.2737367544323206e-13,0.0,True
2025-01-07,8439.007312540829,8518.544983030455,58884.408546394305,12393.903761628228,71278.31230802253,1,True,True,1.7053025658242404e-12,0.0,True
2025-01-08,8518.544983030455,9242.143712947072,71609.08278783591,60.069405519975064,71669.15219335588,1,False,True,2.2737367544323206e-13,0.0,True
2025-01-09,9242.143712947072,9159.757240606938,71406.85908543615,24.591695201190156,71431.45078063734,1,False,True,2.2737367544323206e-13,0.0,True
2025-01-10,9159.757240606938,9323.699207058438,34656.03719702203,0.0,34656.03719702203,1,False,True,2.2737367544323206e-13,0.0,True
2025-01-11,9323.699207058438,8368.563718991634,24343.54893431571,3799.687714202779,28143.23664851849,1,False,True,1.7053025658242404e-12,0.0,True
2025-01-12,8368.563718991634,8523.749147348884,59008.08666595548,6235.101180103868,65243.18784605935,1,False,True,1.7053025658242404e-12,0.0,True
2025-01-13,8523.749147348884,8173.690137351283,58311.16105629018,3739.937964787514,62051.099021077694,1,False,True,1.7053025658242404e-12,0.0,True
2025-01-14,8173.690137351283,8132.41291615766,58215.9644712383,4883.039619534311,63099.004090772614,1,False,True,1.7053025658242404e-12,0.0,True
2025-01-15,8132.41291615766,8321.633777538129,57967.17651327277,7918.795083678362,65885.97159695113,1,False,True,3.410605131648481e-12,0.0,True
2025-01-16,8321.633777538129,8291.571099636329,58174.513550273914,7523.369901467317,65697.88345174123,1,False,True,1.1368683772161603e-13,0.0,True
2025-01-17,8291.571099636329,8200.383441564083,24057.758110929986,2351.6147097989706,26409.372820728957,1,False,True,1.1368683772161603e-13,0.0,True
2025-01-18,8200.383441564083,9389.919702569357,34440.93331610346,73.93132448333293,34514.86464058679,1,False,True,1.1368683772161603e-13,0.0,True
2025-01-19,9389.919702569357,9060.858119853425,69750.63105647366,0.0,69750.63105647366,1,False,True,1.1368683772161603e-13,0.0,True
2025-01-20,9060.858119853425,9129.282197056122,69564.18306250346,70.19484401583944,69634.37790651931,1,False,True,2.2737367544323206e-13,0.0,True
2025-01-21,9129.282197056122,9319.569463380953,69642.32181543394,46.73686453333313,69689.05867996727,1,False,True,2.2737367544323206e-13,0.0,True
2025-01-22,9319.569463380953,8852.758421906534,69165.8374768518,111.50456358571392,69277.3420404375,1,False,True,1.4210854715202004e-13,0.0,True
2025-01-23,8852.758421906534,9182.01169509766,69408.77920802817,152.8514505623019,69561.63065859047,1,False,True,2.2737367544323206e-13,0.0,True
2025-01-24,9182.01169509766,8304.002867458972,22252.13102289418,1808.7449283452447,24060.875951239424,1,False,True,1.1368683772161603e-13,0.0,True
2025-01-25,8304.002867458972,8390.667789453773,22630.562193880367,1206.0943963116106,23836.65659019198,1,False,True,1.1368683772161603e-13,0.0,True
2025-01-26,8390.667789453773,8319.556378724761,55935.395234477604,7586.678962205106,63522.07419668271,1,False,True,1.7053025658242404e-12,0.0,True
2025-01-27,8319.556378724761,8292.194637957627,55764.09443576925,2975.6726856448413,58739.767121414094,1,False,True,1.7053025658242404e-12,0.0,True
2025-01-28,8292.194637957627,8316.96591248313,55236.03557430519,8488.290175146874,63724.325749452066,1,False,True,3.410605131648481e-12,0.0,True
2025-01-29,8316.96591248313,4933.532629863795,54317.752679173864,2308.714268431733,56626.4669476056,4,False,False,1.3322676295501878e-13,0.0,True
2025-01-30,4933.532629863795,4529.331874210184,55718.41298224665,883.8196034690025,56602.232585715654,4,False,False,2.2737367544323206e-13,0.0,True
2025-01-31,4529.331874210184,2865.04071293152,20687.077387119207,1101.3288811072289,21788.406268226434,4,False,False,1.1368683772161603e-13,0.0,True
