calibration_date,history_cutoff_date,candidate_k,selected_k,effective_start_date,effective_end_date,mean_validation_cost_yuan,standard_error_yuan,validation_days,emergency_purchase_kwh,mean_solve_seconds,within_time_limit,candidate_selected,selected,fallback_reason
2025-01-29,2025-01-28,2,4,2025-01-29,2025-02-11,57928.52622548501,4344.997911256699,14,3270.0138106345703,0.022570023714381802,True,False,False,
2025-01-29,2025-01-28,4,4,2025-01-29,2025-02-11,55249.243854822336,3993.8360203185553,14,4083.4719710458717,0.03563456257688813,True,True,True,
2025-01-29,2025-01-28,6,4,2025-01-29,2025-02-11,53520.92588232077,3661.144438004823,14,3079.718607625642,0.05385924699450178,True,False,False,
2025-01-29,2025-01-28,8,4,2025-01-29,2025-02-11,52817.40413780359,4001.39047051595,14,3096.5711867172367,0.06990035999582947,True,False,False,
2025-01-29,2025-01-28,10,4,2025-01-29,2025-02-11,55117.823689450444,4450.559882690806,14,2637.869355319246,0.08782620221193481,True,False,False,
2025-01-29,2025-01-28,12,4,2025-01-29,2025-02-11,57207.89172885298,4333.647371913873,14,483.45510992129823,0.10314462792926601,True,False,False,
2025-06-18,2025-06-17,2,2,2025-06-18,2025-07-01,47191.48147054616,3595.444981170904,14,26234.194611923154,0.023121809568172984,True,True,True,
2025-06-18,2025-06-17,4,2,2025-06-18,2025-07-01,47817.537419586144,3806.678502127062,14,37650.661991941815,0.03893659807051465,True,False,False,
2025-06-18,2025-06-17,6,2,2025-06-18,2025-07-01,48076.5564763182,3961.92220871414,14,39539.8505392477,0.05179599121038336,True,False,False,
2025-06-18,2025-06-17,8,2,2025-06-18,2025-07-01,46431.300674334845,4063.9336152150595,14,30192.265250113003,0.06745071099846557,True,False,False,
2025-06-18,2025-06-17,10,2,2025-06-18,2025-07-01,45916.41699052654,3996.5047228868916,14,26315.172207839,0.08764250592711116,True,False,False,
2025-06-18,2025-06-17,12,2,2025-06-18,2025-07-01,44628.72132328577,4173.09486488777,14,22029.82418709701,0.10663419641995071,True,False,False,
