calibration_date,history_cutoff_date,effective_start_date,effective_end_date,forecast_mode,risk_alpha,validation_days,validation_start_date,validation_end_date,window_start_soc_kwh,candidate_soc_end_kwh,candidate_soc_path_kwh,mean_actual_cost_yuan,standard_error_yuan,mean_planned_cost_yuan,mean_emergency_cost_yuan,mean_unused_plan_kwh,mean_solve_seconds,used_full_day_actual_lp,future_actuals_in_optimizer,selection_criterion,one_se_threshold_yuan,selected,fallback_reason
2025-01-01,attachment1_fallback,2025-01-01,2025-01-14,m1,,0,none,none,6000.0,,,,,,,,,False,False,mean_actual_cost_sum_pq_plus_5pe,,True,insufficient_prior_14_day_window
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m1,0.6,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912400;2911.969211;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85208.61226750274,10486.386056559057,49375.79479881087,35832.81746869188,6596.835866949148,8.807275411307014,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m1,0.7,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912400;2945.058154;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85434.82342484788,10219.43285805076,50053.88096722243,35380.942457625446,6772.953553571008,8.77886327346953,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m1,0.8,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912400;2945.058154;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85388.10020139282,10179.246963564474,50707.410023409095,34680.69017798374,7036.578898036741,8.764280981346799,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m1,0.9,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912400;2945.058154;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85688.00703779985,9770.121593086225,53004.188204107086,32683.818833692778,8204.141197778055,8.771184175998703,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m2,0.6,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912400;2895.770629;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85212.25125804706,10492.127831199314,49395.129438878204,35817.12181916887,6639.8444335836975,8.795936933502421,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m2,0.7,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912400;2928.859584;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85428.0590301637,10212.417943118737,50070.06995088531,35357.989079278406,6797.017014631636,8.774765858867406,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m2,0.8,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912400;2928.859584;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85425.4146219784,10167.842359140115,50718.91612806482,34706.49849391357,7072.475790093041,8.816930758679518,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m2,0.9,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912400;2928.859584;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85676.60102646377,9749.325433020855,53014.844574214956,32661.75645224883,8234.092489646553,8.855167462852219,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m3,0.6,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912285;2921.605999;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85099.97695710344,10496.783099197943,49315.244762527014,35784.73219457641,6486.216960938837,4.389122100975198,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,True,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m3,0.7,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912285;2954.694945;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85301.46316360611,10228.392774204713,50002.194165498404,35299.26899810772,6662.889579789049,4.371743507109516,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m3,0.8,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912285;2954.694945;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85267.2639633005,10190.328172813146,50692.21616987899,34575.0477934215,6980.718750474751,4.361038809825134,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m3,0.9,14,2025-01-01,2025-01-14,6000.0,1200.0,6000.000000;1200.000000;1213.675523;4885.912285;2954.694945;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000,85689.12130218661,9744.953866466818,53020.83742258445,32668.283879602164,8231.422747512339,4.3206292046026125,False,False,mean_actual_cost_sum_pq_plus_5pe,95596.76005630138,False,
2025-01-29,2025-01-28,2025-01-29,2025-02-11,m1,0.6,14,2025-01-15,2025-01-28,1200.0,1202.2180909393308,1200.000000;1201.251268;1200.000000;1200.000000;1200.000000;1200.000000;1200.000000;1246.685325;1201.518786;1263.098519;1200.000000;1208.575298;1200.000000;1200.000000;1202.218091,52712.21587319785,4498.033970115815,47963.84154565744,4748.374327540421,2387.5231785625465,8.736510184360668,False,False,mean_actual_cost_sum_pq_plus_5pe,57755.372957074935,False,
