calibration_date,history_cutoff_date,effective_start_date,effective_end_date,forecast_mode,risk_alpha,load_mae_kwh,pv_mae_kwh,net_load_mae_kwh,quantile_coverage,mean_planned_cost_yuan,mean_emergency_cost_yuan,mean_unused_plan_kwh,mean_actual_cost_yuan,selected,selection_role
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m1,0.6,81.67516979166665,21.65993211069381,96.56365673796135,0.782329504985755,49566.37879897903,33129.614914587444,6044.025903892975,82695.99371356647,False,diagnostic_only
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m1,0.7,81.67516979166665,21.65993211069381,96.56365673796135,0.782329504985755,50216.977595640165,33114.53890010341,6274.210355004988,83331.51649574356,False,diagnostic_only
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m1,0.8,81.67516979166665,21.65993211069381,96.56365673796135,0.782329504985755,50878.173998207865,32446.117372406385,6554.7464729797,83324.29137061427,False,diagnostic_only
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m1,0.9,81.67516979166665,21.65993211069381,96.56365673796135,0.782329504985755,53176.1098075627,30080.689741694874,7662.416291196152,83256.79954925759,False,diagnostic_only
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m2,0.6,81.67516979166665,22.481011760085977,97.09020597304892,0.7822664411206077,49585.05871156498,33291.56886489269,6099.13751364817,82876.62757645767,False,diagnostic_only
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m2,0.7,81.67516979166665,22.481011760085977,97.09020597304892,0.7822664411206077,50232.35111329385,33080.656564820114,6302.561625344155,83313.00767811397,False,diagnostic_only
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m2,0.8,81.67516979166665,22.481011760085977,97.09020597304892,0.7822664411206077,50888.78273739423,32470.036635589724,6556.565330387391,83358.81937298393,False,diagnostic_only
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m2,0.9,81.67516979166665,22.481011760085977,97.09020597304892,0.7822664411206077,53185.857458079154,30217.159804250703,7714.20864936197,83403.01726232984,False,diagnostic_only
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m3,0.6,81.67516979166665,21.406632829388702,96.8758255558705,0.7838096509971509,49506.57919125772,33204.4436369193,5969.978920892443,82711.02282817704,True,diagnostic_only
2025-01-15,2025-01-14,2025-01-15,2025-01-28,m3,0.7,81.67516979166665,21.406632829388702,96.8758255558705,0.7838096509971509,50166.279040608155,33107.96763500648,6200.53987073808,83274.24667561463,False,diagnostic_only
