date,forecast_mode,risk_alpha,scenario_k,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,unused_plan_kwh,emergency_kwh,used_full_day_actual_lp,future_actuals_in_optimizer,pass,fallback_reason,include_value_cuts
2025-01-01,m1,,1,6000.0,8110.865510770157,34886.96347102393,137976.12297302607,172863.08644405002,21.217301405490957,36788.27004909357,False,False,True,insufficient_prior_14_day_window,True
2025-01-02,m1,,1,8110.865510770157,8184.982041348206,47751.79237527367,63866.02711623075,111617.81949150442,12.605434973089928,16986.409284875077,False,False,True,insufficient_prior_14_day_window,True
2025-01-03,m1,,1,8184.982041348206,10799.99999976254,47923.77279968492,8398.788117604174,56322.5609172891,27777.188428028858,1879.9493416666678,False,False,True,insufficient_prior_14_day_window,True
2025-01-04,m1,,1,10799.99999976254,10690.406100691836,46531.28793756596,8113.682904044792,54644.97084161075,27013.894548772696,1854.6808665004216,False,False,True,insufficient_prior_14_day_window,True
2025-01-05,m1,,1,10690.406100691836,8188.938784028754,46369.998164879245,58679.1300009994,105049.12816587865,33.59123427033251,15868.22854780691,False,False,True,insufficient_prior_14_day_window,True
2025-01-06,m1,,1,8188.938784028754,8266.715444843918,47367.66043568115,57858.844091163475,105226.50452684463,5.425818540639625,15641.713148189048,False,False,True,insufficient_prior_14_day_window,True
2025-01-07,m1,,1,8266.715444843918,8257.620324146135,47318.41890427185,63972.75793878548,111291.17684305733,41.25373427034401,17750.546842507774,False,False,True,insufficient_prior_14_day_window,True
2025-01-08,m1,,1,8257.620324146135,8864.584074438753,59592.74936270078,8083.819459938926,67676.5688226397,3702.2191233565486,2050.840867567185,False,False,True,insufficient_prior_14_day_window,True
2025-01-09,m1,,1,8864.584074438753,8830.638754002124,59436.00480992901,9085.911144266494,68521.9159541955,2340.7830755528985,2120.730851805097,False,False,True,insufficient_prior_14_day_window,True
2025-01-10,m1,,1,8830.638754002124,8691.187953199176,24402.970756281233,18214.87554278838,42617.84629906961,2899.260325107266,4705.118667965968,False,False,True,insufficient_prior_14_day_window,True
2025-01-11,m1,,1,8691.187953199176,8427.374919647693,24637.598470455,1907.9479196891461,26545.546390144147,953.2529166548833,646.0174763289153,False,False,True,insufficient_prior_14_day_window,True
2025-01-12,m1,,1,8427.374919647693,8610.495728072641,59552.85468600936,3205.135126449406,62757.98981245877,1439.2778389403118,930.2753233108649,False,False,True,insufficient_prior_14_day_window,True
