date,q_max_abs_kwh,q_sum_abs_kwh,planned_cost_abs_yuan,charge_block_abs_kwh,soc_start_abs_kwh,soc_end_abs_kwh,soc_vs_dispatch_abs_kwh,emergency_abs_kwh,emergency_vs_ledger_abs_kwh,emergency_recon_abs_kwh,max_balance_residual_kwh,max_x_minus_q_kwh,max_simultaneous_cd_kwh2,charge_power_ok,discharge_power_ok,soc_bounds_ok
2025-02-01,4.547473508864641e-13,0.0,3.637978807091713e-12,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-02-02,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-02-03,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,2.842170943040401e-14,2.842170943040401e-14,4.547473508864641e-13,0.0,0.0,True,True,True
2025-02-04,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-02-05,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,5.684341886080802e-14,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,0.0,0.0,True,True,True
2025-02-06,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-02-07,4.547473508864641e-13,7.275957614183426e-12,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-02-08,4.547473508864641e-13,7.275957614183426e-12,3.637978807091713e-12,9.094947017729282e-13,0.0,0.0,0.0,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-02-09,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,2.2737367544323206e-13,2.2737367544323206e-13,3.410605131648481e-13,0.0,0.0,True,True,True
2025-02-10,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
2025-02-11,4.547473508864641e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,True,True,True
2025-02-12,4.547473508864641e-13,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0,2.2737367544323206e-13,4.547473508864641e-13,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.0,True,True,True
2025-02-13,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,True,True,True
