date,strategy,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,year_end_soc_kwh,year_end_boundary,run_id,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,curtailment_kwh,emergency_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,adjustment_count,up_adjust_kwh,down_adjust_kwh,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_cd_kwh2,locked_period_violations,runtime_seconds
2025-01-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,115662.27685393796,47376.582180411584,68285.69467352636,0.0,18381.54589743125,28985.609418205688,24084.505664740893,6000.0,8110.865465597771,0,0.0,0.0,2.273736754432321e-13,0.0,0.0,0,4.200294833000953
2025-01-02,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-02__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,105703.63882837216,49305.82207684658,56397.81675152556,0.0,15069.735928127786,26693.69118330032,23954.00895071994,8110.865465597771,8184.981995734686,0,0.0,0.0,1.7053025658242404e-12,1.8189894035458565e-12,0.0,0,4.109129019001557
2025-01-03,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-03__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,47520.46195595156,47433.777115576566,86.68484037500042,3836.0313166666665,45.94975000000022,15179.910977623822,11181.095975347644,8184.981995734686,10799.99999975324,0,0.0,0.0,4.945377440890297e-12,0.0,0.0,0,4.175898438999866
2025-01-04,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-04__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,45143.49502499864,45143.49502487243,1.2620526744200334e-07,3696.943830555556,5.9029591881198946e-08,13340.486882649077,12031.567210991809,10799.99999975324,10773.511690473131,0,0.0,0.0,1.1368683772161605e-13,0.0,0.0,0,4.167641379000997
2025-01-05,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-05__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,110616.8539422198,45418.65478762116,65198.19915459865,0.0,17239.40723532973,24248.04655463497,24275.183091763283,10773.511690473131,8188.938738013238,0,0.0,0.0,1.7053025658242404e-12,1.8189894035458565e-12,0.0,0,4.121943345999171
2025-01-06,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-06__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,106908.85813527757,47312.93451963986,59595.9236156377,0.0,15821.729120365582,25790.0089882503,23137.22266974901,8188.938738013238,8266.715399442699,0,0.0,0.0,2.273736754432321e-13,0.0,0.0,0,4.21095945399793
2025-01-07,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-07__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,118556.1586577114,45913.78622093081,72642.3724367806,0.0,19812.528220709508,27283.969925358928,24564.20132229981,8266.715399442699,8257.620278347491,0,0.0,0.0,1.7053025658242404e-12,1.8189894035458565e-12,0.0,0,4.119324860999768
2025-01-08,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-08__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,66521.8428436651,63542.2307018688,2979.6121417963063,0.0,1029.7681550403508,24706.253080893395,21759.001027951603,8257.620278347491,8760.028980842724,0,0.0,0.0,1.7053025658242404e-12,1.8189894035458565e-12,0.0,0,4.0820887990012125
2025-01-09,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-09__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,65513.64243132869,58781.908939220586,6731.7334921080965,0.0023,1982.5677245486856,25937.955660679225,23488.15256481224,8760.028980842724,8608.247590259763,0,0.0,0.0,2.273736754432321e-13,9.094947017729282e-13,0.0,0,4.049533175999386
2025-01-10,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,1200.0,A_q2_aligned,2025-01-10__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h__ye1200,29011.8777709186,27338.39047780491,1673.4872931136842,1797.462533333333,556.7017133941122,18936.43858892811,17171.146090208353,8608.247590259763,8472.953377283942,0,0.0,0.0,1.1368683772161605e-13,0.0,0.0,0,4.090232385999116
