month,strategy,year_end_boundary,emergency_cost_yuan,curtailment_kwh
2025-01,M0,A_q2_aligned,473327.67993473035,15339.383139257774
2025-01,M0,B_energy_neutral,473327.67993473035,15339.383139257774
2025-01,M12_only,A_q2_aligned,393439.8714318087,13689.346684700946
2025-01,M12_only,B_energy_neutral,393439.8714318087,13689.346684700946
2025-01,M18_only,A_q2_aligned,473622.78508706123,15339.383139257774
2025-01,M18_only,B_energy_neutral,473622.78508706123,15339.383139257774
2025-01,M1_M6,A_q2_aligned,365655.4556872823,12107.982992217676
2025-01,M1_M6,B_energy_neutral,365655.4556872823,12107.982992217676
2025-01,M6_only,A_q2_aligned,387636.4309802252,14761.170809240364
2025-01,M6_only,B_energy_neutral,387636.4309802252,14761.170809240364
2025-02,M0,A_q2_aligned,55981.845361641885,40431.67122002197
2025-02,M0,B_energy_neutral,55981.845361641885,40431.67122002197
2025-02,M12_only,A_q2_aligned,37978.38420765732,40626.79937121981
2025-02,M12_only,B_energy_neutral,37978.38420765732,40626.79937121981
2025-02,M18_only,A_q2_aligned,55956.519661843646,40431.67122002197
2025-02,M18_only,B_energy_neutral,55956.519661843646,40431.67122002197
2025-02,M1_M6,A_q2_aligned,39083.16900856876,37492.991040442415
2025-02,M1_M6,B_energy_neutral,39083.16900856876,37492.991040442415
2025-02,M6_only,A_q2_aligned,51729.830854650354,37360.62417350807
2025-02,M6_only,B_energy_neutral,51729.830854650354,37360.62417350807
2025-03,M0,A_q2_aligned,124011.35392403195,129692.11123412862
2025-03,M0,B_energy_neutral,124011.35392403195,129692.11123412862
2025-03,M12_only,A_q2_aligned,91647.23901151028,118785.33132736446
2025-03,M12_only,B_energy_neutral,91647.23901151028,118785.33132736446
2025-03,M18_only,A_q2_aligned,123941.25609058177,129692.11123412856
2025-03,M18_only,B_energy_neutral,123941.25609058177,129692.11123412856
2025-03,M1_M6,A_q2_aligned,78635.86581856568,117866.74328946549
2025-03,M1_M6,B_energy_neutral,78635.86581856568,117866.74328946549
2025-03,M6_only,A_q2_aligned,130418.57192619353,122731.69282685654
2025-03,M6_only,B_energy_neutral,130418.57192619353,122731.69282685654
2025-04,M0,A_q2_aligned,233985.69419919018,192206.36068669637
2025-04,M0,B_energy_neutral,233985.69419919018,192206.36068669637
2025-04,M12_only,A_q2_aligned,133016.25455270318,181391.045294581
2025-04,M12_only,B_energy_neutral,133016.25455270318,181391.045294581
2025-04,M18_only,A_q2_aligned,232350.225812344,192206.36068669634
2025-04,M18_only,B_energy_neutral,232350.225812344,192206.36068669634
2025-04,M1_M6,A_q2_aligned,111781.6238040033,168577.99693366457
2025-04,M1_M6,B_energy_neutral,111781.6238040033,168577.99693366457
2025-04,M6_only,A_q2_aligned,146139.79096425525,177184.32545416226
2025-04,M6_only,B_energy_neutral,146139.79096425525,177184.32545416226
2025-05,M0,A_q2_aligned,436224.6709607608,201763.14068221484
2025-05,M0,B_energy_neutral,436224.6709607608,201763.14068221484
2025-05,M12_only,A_q2_aligned,338447.10199675366,199759.36092043194
2025-05,M12_only,B_energy_neutral,338447.10199675366,199759.36092043194
2025-05,M18_only,A_q2_aligned,434611.6695460163,201763.14068221484
2025-05,M18_only,B_energy_neutral,434611.6695460163,201763.14068221484
2025-05,M1_M6,A_q2_aligned,299787.66256455256,194547.19448523398
2025-05,M1_M6,B_energy_neutral,299787.66256455256,194547.19448523398
2025-05,M6_only,A_q2_aligned,305774.57851351507,206261.90756997146
2025-05,M6_only,B_energy_neutral,305774.57851351507,206261.90756997146
2025-06,M0,A_q2_aligned,559372.5606313713,67399.39760993984
2025-06,M0,B_energy_neutral,559372.5606313713,67399.39760993984
2025-06,M12_only,A_q2_aligned,507638.1417113483,68662.20793162634
2025-06,M12_only,B_energy_neutral,507638.1417113483,68662.20793162634
2025-06,M18_only,A_q2_aligned,558685.1818403191,67399.39760993958
2025-06,M18_only,B_energy_neutral,558685.1818403191,67399.39760993958
2025-06,M1_M6,A_q2_aligned,482336.0898213502,67890.04459783717
2025-06,M1_M6,B_energy_neutral,482336.0898213502,67890.04459783717
2025-06,M6_only,A_q2_aligned,514439.9934619938,66856.116040186
2025-06,M6_only,B_energy_neutral,514439.9934619938,66856.116040186
2025-07,M0,A_q2_aligned,814927.1404678932,97645.0511907862
2025-07,M0,B_energy_neutral,814927.1404678932,97645.0511907862
2025-07,M12_only,A_q2_aligned,717255.4628896287,91249.17331700183
2025-07,M12_only,B_energy_neutral,717255.4628896287,91249.17331700183
2025-07,M18_only,A_q2_aligned,812925.678721631,97645.05119078627
2025-07,M18_only,B_energy_neutral,812925.678721631,97645.05119078627
2025-07,M1_M6,A_q2_aligned,697299.9136235475,88268.96236200158
2025-07,M1_M6,B_energy_neutral,697299.9136235475,88268.96236200158
2025-07,M6_only,A_q2_aligned,738030.2476805797,86604.42388032017
2025-07,M6_only,B_energy_neutral,738030.2476805797,86604.42388032017
2025-08,M0,A_q2_aligned,148070.90778648836,206504.35001671777
2025-08,M0,B_energy_neutral,148070.90778648836,206504.35001671777
2025-08,M12_only,A_q2_aligned,94716.4331933322,202652.22815017978
2025-08,M12_only,B_energy_neutral,94716.4331933322,202652.22815017978
2025-08,M18_only,A_q2_aligned,148535.11887700445,206504.35001671786
2025-08,M18_only,B_energy_neutral,148535.11887700445,206504.35001671786
2025-08,M1_M6,A_q2_aligned,89392.27996396321,202242.7588215002
2025-08,M1_M6,B_energy_neutral,89392.27996396321,202242.7588215002
2025-08,M6_only,A_q2_aligned,112909.95223389783,211476.58495250184
2025-08,M6_only,B_energy_neutral,112909.95223389783,211476.58495250184
2025-09,M0,A_q2_aligned,80227.94616182534,179330.38763356174
2025-09,M0,B_energy_neutral,80227.94616182534,179330.38763356174
2025-09,M12_only,A_q2_aligned,45032.80387646995,174836.08863739372
2025-09,M12_only,B_energy_neutral,45032.80387646995,174836.08863739372
2025-09,M18_only,A_q2_aligned,80227.94616162538,179330.38763356174
2025-09,M18_only,B_energy_neutral,80227.94616162538,179330.38763356174
2025-09,M1_M6,A_q2_aligned,26649.998321774357,168939.8589635961
2025-09,M1_M6,B_energy_neutral,26649.998321774357,168939.8589635961
2025-09,M6_only,A_q2_aligned,40088.42215897553,172047.76246167105
2025-09,M6_only,B_energy_neutral,40088.42215897553,172047.76246167105
2025-10,M0,A_q2_aligned,165075.08190266794,157305.0781730172
2025-10,M0,B_energy_neutral,165075.08190266794,157305.0781730172
2025-10,M12_only,A_q2_aligned,115726.24967030053,144080.40484257255
2025-10,M12_only,B_energy_neutral,115726.24967030053,144080.40484257255
2025-10,M18_only,A_q2_aligned,165051.48764812518,157305.07817277938
2025-10,M18_only,B_energy_neutral,165051.48764812518,157305.07817277938
2025-10,M1_M6,A_q2_aligned,96533.5007693492,132746.136349055
2025-10,M1_M6,B_energy_neutral,96533.5007693492,132746.136349055
2025-10,M6_only,A_q2_aligned,147892.6023618245,136002.1552704619
2025-10,M6_only,B_energy_neutral,147892.6023618245,136002.1552704619
2025-11,M0,A_q2_aligned,224566.25108477112,50721.681566383646
2025-11,M0,B_energy_neutral,224566.25108477112,50721.681566383646
2025-11,M12_only,A_q2_aligned,160333.34451327389,48719.64524756925
2025-11,M12_only,B_energy_neutral,160333.34451327389,48719.64524756925
2025-11,M18_only,A_q2_aligned,224463.2228239052,50721.68156638367
2025-11,M18_only,B_energy_neutral,224463.2228239052,50721.68156638367
2025-11,M1_M6,A_q2_aligned,105025.90863348263,46872.271170355
2025-11,M1_M6,B_energy_neutral,105025.90863348263,46872.271170355
2025-11,M6_only,A_q2_aligned,139042.29920361337,47604.2076683756
2025-11,M6_only,B_energy_neutral,139042.29920361337,47604.2076683756
2025-12,M0,A_q2_aligned,457807.54589630355,485.7853791666643
2025-12,M0,B_energy_neutral,457957.4579513174,485.7853791666643
2025-12,M12_only,A_q2_aligned,398574.34561214724,149.24921900709992
2025-12,M12_only,B_energy_neutral,398724.25766749197,149.24921900709992
2025-12,M18_only,A_q2_aligned,457810.14060555864,485.7853791666643
2025-12,M18_only,B_energy_neutral,457960.0526605721,485.7853791666643
2025-12,M1_M6,A_q2_aligned,378854.0850694328,137.77624546923414
2025-12,M1_M6,B_energy_neutral,379005.7975628451,137.77624546923414
2025-12,M6_only,A_q2_aligned,396826.69129400747,476.78719583333475
2025-12,M6_only,B_energy_neutral,396959.57804792025,476.78719583333475
