strategy,year_end_boundary,year_end_soc_kwh,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,n_days,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,emergency_kwh,curtailment_kwh,charge_kwh,discharge_kwh,adjustment_count,up_adjust_kwh,down_adjust_kwh,soc_start_jan01_kwh,soc_end_dec31_kwh,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_cd_kwh2,locked_period_violations,runtime_seconds,cost_rank_within_boundary
M0,A_q2_aligned,1200.0,causal_load_main,linear_anchor_main,anchor_final_main,True,365,17109568.25173491,13335989.57342323,3773578.678311676,1051774.7785539478,1338824.3985318926,7009829.503078684,6313400.232601157,0,0.0,0.0,6000.0,1200.0,4.773642103828024e-08,6.435152499761898e-08,0.0,0,1483.11194234309,4.0
M12_only,A_q2_aligned,1200.0,causal_load_main,linear_anchor_main,anchor_final_main,True,365,16565489.896669112,13531684.264002178,3033805.6326669343,813609.3201415858,1284600.8809436485,7010918.927695973,6314380.714756668,365,324909.3465548428,356669.7985618225,6000.0,1200.0,4.945377440890297e-12,6.435220711864531e-08,0.0,0,1476.79981588601,2.0
M18_only,A_q2_aligned,1200.0,causal_load_main,linear_anchor_main,anchor_final_main,True,365,17110380.13247791,13342198.899601892,3768181.232876016,1050830.2586425624,1338824.3985316546,7009610.254481764,6313202.908863929,218,5108.473905699238,4745.129306299425,6000.0,1200.0,4.773642103828024e-08,6.435288923967164e-08,0.0,0,1471.1794338980399,5.0
M1_M6,A_q2_aligned,1200.0,causal_load_main,linear_anchor_main,anchor_final_main,True,365,16373508.74903882,13602473.195952946,2771035.553085873,742322.8134101499,1237690.7172508384,7049815.599485646,6349387.719367376,947,468477.0028823696,571193.9014929149,6000.0,1200.0,4.3570480556809343e-08,6.435243449232075e-08,0.0,0,1638.887715524008,1.0
M6_only,A_q2_aligned,1200.0,causal_load_main,linear_anchor_main,anchor_final_main,True,365,16755343.837852107,13644414.426218376,3110929.4116337313,853162.7310664478,1279367.7583030886,7048654.467136204,6348342.700252924,364,512716.03078216815,581751.6959669048,6000.0,1200.0,4.774005901708733e-08,6.43526618659962e-08,0.0,0,1499.098162594939,3.0
M0,B_energy_neutral,6000.0,causal_load_main,linear_anchor_main,anchor_final_main,True,365,17111823.68793164,13338095.097564947,3773728.5903666895,1051817.967821924,1338824.3985318926,7014267.959379265,6312841.163441079,0,0.0,0.0,6000.0,6000.0,2.5863755581667647e-11,6.435152499761898e-08,0.0,0,1455.8701041749846,4.0
M12_only,B_energy_neutral,6000.0,causal_load_main,linear_anchor_main,anchor_final_main,True,365,16567745.332866203,13533789.788143925,3033955.5447222786,813652.5094096728,1284600.8809436485,7015357.38399649,6313821.64559658,365,324909.34655486676,356669.7985618225,6000.0,6000.0,4.945377440890297e-12,6.435220711864531e-08,0.0,0,1469.9896643410102,2.0
M18_only,B_energy_neutral,6000.0,causal_load_main,linear_anchor_main,anchor_final_main,True,365,17112635.56867464,13344304.42374361,3768331.1449310295,1050873.4479105384,1338824.3985316546,7014048.7107823435,6312643.839703849,218,5108.473905699238,4745.129306299425,6000.0,6000.0,4.3570480556809343e-08,6.435288923967164e-08,0.0,0,1468.742589511996,5.0
M1_M6,B_energy_neutral,6000.0,causal_load_main,linear_anchor_main,anchor_final_main,True,365,16375771.628933359,13604584.363354074,2771187.265579285,742366.7944174453,1237690.7172508384,7054249.088827779,6348824.179944741,947,468481.47314489365,571193.9014929149,6000.0,6000.0,4.3570480556809343e-08,6.435243449232075e-08,0.0,0,1524.2027930609802,1.0
M6_only,B_energy_neutral,6000.0,causal_load_main,linear_anchor_main,anchor_final_main,True,365,16757582.248747738,13646519.950360093,3111062.298387644,853201.7145320554,1279367.7583030886,7053092.923436747,6347783.631092811,364,512716.03078216815,581751.6959669048,6000.0,6000.0,2.5863755581667647e-11,6.43526618659962e-08,0.0,0,1477.8845449649962,3.0
