date,strategy,year_end_boundary,year_end_soc_kwh,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,emergency_kwh,curtailment_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,g0_kwh,g_final_kwh,planned_energy_cost_yuan,max_balance_residual_kwh
2025-01-01,M1_M6,A_q2_aligned,1200.0,109065.8031569203,50072.71899571351,58993.08416120678,15561.800448533715,0.0,28985.609396958098,24084.505645618065,6000.0,8110.865465597771,78575.94517410586,81395.69062087862,47376.582180411584,2.2737367544323206e-13
2025-01-02,M1_M6,A_q2_aligned,1200.0,109974.63501225744,49529.63009353244,60445.004918725,16145.970850278758,0.0,26693.691171150607,23954.008939785195,8110.865465597771,8184.981995734686,80567.79100656098,79491.55608319503,49305.82207684658,2.2737367544323206e-13
2025-01-03,M1_M6,A_q2_aligned,1200.0,46598.26156966747,46511.57672929247,86.68484037500042,45.94975000000022,3537.7082166666673,15675.116589322934,11626.781025876848,8184.981995734686,10799.999999753241,77611.57270181412,73360.97226547699,47433.777115576566,4.945377440890297e-12
2025-01-04,M1_M6,A_q2_aligned,1200.0,46387.1209644412,46387.120964315,1.2620181899336557e-07,5.9027978949188764e-08,3859.519783333333,12915.160271536482,11648.77326099181,10799.999999753241,10773.511690471723,73212.75778969133,72984.20514562911,45143.49502487243,1.1368683772161603e-13
2025-01-05,M1_M6,A_q2_aligned,1200.0,108748.181254679,46293.120161068946,62455.06109361006,16561.302885480818,0.0,24299.91384194906,24321.863650761094,10773.511690471723,8188.938737574247,73802.75776275554,74486.0488409159,45418.65478762322,1.7053025658242404e-12
2025-01-06,M1_M6,A_q2_aligned,1200.0,105757.98809945644,48032.19715760963,57725.790941846804,15416.326966834948,0.0,25790.00898618315,23137.22266789166,8188.938737574247,8266.715399000459,77468.96411737353,77874.36627023159,47312.9345198374,2.2737367544323206e-13
2025-01-07,M1_M6,A_q2_aligned,1200.0,107877.21153077943,50386.13950766068,57491.07202311876,15292.34882449222,0.0,26920.348400152827,24236.941949200973,8266.715399000459,8257.620278340959,75518.4389180176,80002.25616166831,45913.78622112687,1.7053025658242404e-12
2025-01-08,M1_M6,A_q2_aligned,1200.0,64911.59999693632,61183.29087916485,3728.30911777147,1253.0262946430742,0.0,26172.926007861635,23079.00666221693,8257.620278340959,8760.028980842611,99752.05955125223,93022.46393056097,63542.23070187174,1.7053025658242404e-12
2025-01-09,M1_M6,A_q2_aligned,1200.0,64760.06628064261,60377.110807461926,4382.955473180684,1482.2499557427043,0.0023,25354.01852719862,22962.609144676368,8760.028980842611,8608.24759026316,92856.76403290669,93589.62139313406,58781.908939222114,2.2737367544323206e-13
2025-01-10,M1_M6,A_q2_aligned,1200.0,31285.354885976543,25636.822251660255,5648.532634316288,1927.9996562789552,0.0017666666666666666,20017.71207672383,18144.292229230858,8608.24759026316,8472.953377280635,52486.243707486195,46386.62087117701,27338.390477801913,1.1368683772161603e-13
2025-01-11,M1_M6,A_q2_aligned,1200.0,27471.641286297738,24501.921727316803,2969.7195589809344,1132.994720801384,84.88696651947043,20205.11466433,18109.025595248597,8472.953377280635,8552.619165435339,46859.311495034286,46642.23364745159,24283.681293316524,1.1368683772161603e-13
2025-01-12,M1_M6,A_q2_aligned,1200.0,64745.551353302144,62794.715363717885,1950.8359895842555,664.9977021356807,0.0,24241.538927447014,21755.868060481094,8552.619165435339,8617.46374986898,95227.14869119207,96482.2458995189,60226.74512415708,1.7053025658242404e-12
2025-01-13,M1_M6,A_q2_aligned,1200.0,60793.927553564536,59036.55781490191,1757.369738662625,554.0028112314194,0.0,24774.488612834793,22526.6949656112,8617.46374986898,8375.385898881403,94468.84594758262,92375.93235610137,59831.586137130675,1.7053025658242404e-12
2025-01-14,M1_M6,A_q2_aligned,1200.0,62947.17050528055,58405.295221242646,4541.875284037898,1352.3457257253194,0.0,25525.534797353226,23100.75646614969,8375.385898881403,8240.699066305815,92928.72297431863,92135.18930772442,58640.5749981471,2.2737367544323206e-13
2025-01-15,M1_M6,A_q2_aligned,1200.0,63944.94756167641,60005.81694599759,3939.1306156788232,1019.4876725811124,0.0,26476.296432843446,23635.35550550355,8240.699066305815,8444.46705131494,89685.0845878307,93241.74475261357,56309.9446737123,3.410605131648481e-12
