date,strategy,load_information_case,case,found,period,time,g0_kwh,gF_kwh,price,phi_yuan,expected_phi_yuan,abs_error
2025-02-01,M0,causal_load_main,no_adjust,True,72.0,12:10,0.0,0.0,0.4411,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,down,False,,,,,,,,
2025-02-01,M0,causal_load_main,up,False,,,,,,,,
2025-02-01,M1_M6,causal_load_main,no_adjust,True,70.0,11:50,0.0,0.0,0.4662,0.0,0.0,0.0
2025-02-01,M1_M6,causal_load_main,down,True,129.0,21:40,302.61926927062325,247.4280232079072,0.9871,271.4758412027787,271.4758412027787,0.0
2025-02-01,M1_M6,causal_load_main,up,True,72.0,12:10,0.0,57.720529555208145,0.4411,38.19078838020347,38.19078838020347,0.0
2025-02-01,M6_only,causal_load_main,no_adjust,True,62.0,10:30,0.0,0.0,0.9549,0.0,0.0,0.0
2025-02-01,M6_only,causal_load_main,down,True,97.0,16:20,428.3194986111111,332.80646527777776,0.8519,324.2016043184722,324.2016043184722,0.0
2025-02-01,M6_only,causal_load_main,up,False,,,,,,,,
2025-02-01,M12_only,causal_load_main,no_adjust,True,62.0,10:30,0.0,0.0,0.9549,0.0,0.0,0.0
2025-02-01,M12_only,causal_load_main,down,True,97.0,16:20,428.3194986111111,357.1408708333333,0.8519,334.5668443648611,334.5668443648611,0.0
2025-02-01,M12_only,causal_load_main,up,False,,,,,,,,
2025-02-01,M18_only,causal_load_main,no_adjust,True,71.0,12:00,0.0,0.0,0.4432,0.0,0.0,0.0
2025-02-01,M18_only,causal_load_main,down,True,129.0,21:40,302.61926927062325,247.4280229959602,0.9871,271.4758410981723,271.4758410981723,0.0
2025-02-01,M18_only,causal_load_main,up,False,,,,,,,,
2025-02-01,M1_M6,causal_load_main,no_adjust,True,70.0,11:50,0.0,0.0,0.4662,0.0,0.0,0.0
2025-02-01,M1_M6,causal_load_main,down,True,129.0,21:40,302.61926927062325,249.1152446288326,0.9871,272.30856933507647,272.30856933507647,0.0
2025-02-01,M1_M6,causal_load_main,up,True,72.0,12:10,0.0,57.72052937185259,0.4411,38.190788258886265,38.190788258886265,0.0
2025-02-01,M0,actual_load_proxy,no_adjust,True,72.0,12:10,0.0,0.0,0.4411,0.0,0.0,0.0
2025-02-01,M0,actual_load_proxy,down,False,,,,,,,,
2025-02-01,M0,actual_load_proxy,up,False,,,,,,,,
2025-02-01,M1_M6,actual_load_proxy,no_adjust,True,69.0,11:40,0.0,0.0,0.4785,0.0,0.0,0.0
2025-02-01,M1_M6,actual_load_proxy,down,True,138.0,23:10,525.7534149028552,525.7534144366629,0.4248,223.34005055171363,223.34005055171363,0.0
