date,soc_start_kwh,soc_end_kwh,total_cost_yuan,strategy
2025-01-01,6000.0,8428.296948747726,66283.05096983803,M0_warmup
2025-01-02,8428.296948747726,8428.29763388332,65079.26583514334,M0_warmup
2025-01-03,8428.29763388332,8428.291708384253,26457.82570973362,M0_warmup
2025-01-04,8428.291708384253,8428.291708360646,26944.333128966864,M0_warmup
2025-01-05,8428.291708360646,8428.295499367245,63198.599184248545,M0_warmup
2025-01-06,8428.295499367245,8428.295483533657,61111.742299088284,M0_warmup
2025-01-07,8428.295483533657,8428.295197194284,70460.6777484886,M0_warmup
2025-01-08,8428.295197194284,8428.294814199253,63098.79807671103,M0_warmup
2025-01-09,8428.294814199253,8428.293700347,63990.02143392762,M0_warmup
2025-01-10,8428.293700347,8428.291708363491,27520.171934949085,M0_warmup
2025-01-11,8428.291708363491,8527.112885693577,28049.88968205204,M0_warmup
2025-01-12,8527.112885693577,8428.292324780214,63590.87635329767,M0_warmup
2025-01-13,8428.292324780214,8527.114607426207,60233.72049687809,M0_warmup
2025-01-14,8527.114607426207,8428.293992231624,59468.4362980619,M0_warmup
2025-01-15,8428.293992231624,8428.296873158777,70031.96029493815,M0_warmup
2025-01-16,8428.296873158777,8428.300729400147,66182.08171385842,M0_warmup
2025-01-17,8428.300729400147,8428.291708586707,25089.31154682146,M0_warmup
2025-01-18,8428.291708586707,8428.291708370478,25386.86802552642,M0_warmup
2025-01-19,8428.291708370478,8428.309264032116,67331.40076735319,M0_warmup
2025-01-20,8428.309264032116,8428.310240834531,63634.00461283146,M0_warmup
2025-01-21,8428.310240834531,8428.314515179763,56143.484709321376,M0_warmup
2025-01-22,8428.314515179763,8428.318302878324,60335.71739554987,M0_warmup
2025-01-23,8428.318302878324,8428.321391363314,68193.0591144792,M0_warmup
2025-01-24,8428.321391363314,8428.29170835692,28308.784779353544,M0_warmup
2025-01-25,8428.29170835692,8428.291708356039,26531.73759559317,M0_warmup
2025-01-26,8428.291708356039,8428.333206013867,61128.95776937436,M0_warmup
2025-01-27,8428.333206013867,8428.33812860926,62356.98916035313,M0_warmup
2025-01-28,8428.33812860926,8428.347691025368,58753.481142413795,M0_warmup
2025-01-29,8428.347691025368,8428.3465560599,59688.441400735865,M0_warmup
2025-01-30,8428.3465560599,8428.354496900549,61831.35842526171,M0_warmup
2025-01-31,8428.354496900549,8428.291708583261,26430.901682163323,M0_warmup
