date,soc_start_kwh,soc_end_kwh,total_cost_yuan,strategy,load_information_case
2025-01-01,6000.0,8110.865465597771,115662.27685393795,M0_warmup,causal_load_main
2025-01-02,8110.865465597771,8184.981995734686,105703.63882837215,M0_warmup,causal_load_main
2025-01-03,8184.981995734686,10799.999999753241,47520.46195595156,M0_warmup,causal_load_main
2025-01-04,10799.999999753241,10773.511690473131,45143.495024998636,M0_warmup,causal_load_main
2025-01-05,10773.511690473131,8188.938738013238,110616.85394221981,M0_warmup,causal_load_main
2025-01-06,8188.938738013238,8266.715399442699,106908.85813527755,M0_warmup,causal_load_main
2025-01-07,8266.715399442699,8257.620278347491,118556.1586577114,M0_warmup,causal_load_main
2025-01-08,8257.620278347491,8760.028980842724,66521.8428436651,M0_warmup,causal_load_main
2025-01-09,8760.028980842724,8608.247590259763,65513.642431328684,M0_warmup,causal_load_main
2025-01-10,8608.247590259763,8472.953377283942,29011.877770918596,M0_warmup,causal_load_main
2025-01-11,8472.953377283942,8560.750551222227,29470.783862097473,M0_warmup,causal_load_main
2025-01-12,8560.750551222227,8617.463749868948,64590.26828543249,M0_warmup,causal_load_main
2025-01-13,8617.463749868948,8375.385899776104,61772.18508678376,M0_warmup,causal_load_main
2025-01-14,8375.385899776104,8240.699066754507,62895.17831573728,M0_warmup,causal_load_main
2025-01-15,8240.699066754507,8444.467051321473,72065.16512872152,M0_warmup,causal_load_main
2025-01-16,8444.467051321473,8469.30599748434,67009.63171495277,M0_warmup,causal_load_main
2025-01-17,8469.30599748434,8317.210898593084,25904.902567832025,M0_warmup,causal_load_main
2025-01-18,8317.210898593084,8484.158238392389,26618.15895354999,M0_warmup,causal_load_main
2025-01-19,8484.158238392389,8458.502141095716,67768.76394048387,M0_warmup,causal_load_main
2025-01-20,8458.502141095716,8493.0168764552,65227.1687351679,M0_warmup,causal_load_main
2025-01-21,8493.0168764552,8716.641063667037,58262.07354301925,M0_warmup,causal_load_main
2025-01-22,8716.641063667037,8300.941140494322,61430.55765930102,M0_warmup,causal_load_main
2025-01-23,8300.941140494322,8614.772521764318,69014.73007743666,M0_warmup,causal_load_main
2025-01-24,8614.772521764318,8467.388676277464,27402.72709184804,M0_warmup,causal_load_main
2025-01-25,8467.388676277464,8625.029751623153,25658.867260763778,M0_warmup,causal_load_main
2025-01-26,8625.029751623153,8610.228568214921,62661.12050321056,M0_warmup,causal_load_main
2025-01-27,8610.228568214921,8551.609425379947,64836.06168225384,M0_warmup,causal_load_main
2025-01-28,8551.609425379947,8492.631557541268,60221.233942493636,M0_warmup,causal_load_main
2025-01-29,8492.631557541268,8853.453840550868,59493.57576600006,M0_warmup,causal_load_main
2025-01-30,8853.453840550868,8529.607155920952,62823.52786960537,M0_warmup,causal_load_main
2025-01-31,8529.607155920952,8687.551655739135,26919.516698286323,M0_warmup,causal_load_main
