date,strategy,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,run_id,row_role,period,time,plan_version_time,g_before_kwh,g_after_kwh,up_adjust_kwh,down_adjust_kwh,ordinary_yuan,up_fee_yuan,down_fee_yuan,emergency_kwh,emergency_yuan,total_yuan
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,0,00:10,00:00,447.28122499999995,447.28122499999995,0.0,0.0,190.00506438,0.0,0.0,0.0,0.0,190.00506438
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,0,00:10,00:00,447.28122499999995,447.28122499999995,0.0,0.0,190.00506438,0.0,0.0,0.0,0.0,190.00506438
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,0,00:10,execution,447.28122499999995,447.28122499999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,1,00:20,00:00,681.4372172534233,681.4372172534233,0.0,0.0,289.2700987240782,0.0,0.0,0.0,0.0,289.2700987240782
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,1,00:20,00:00,681.4372172534233,681.4372172534233,0.0,0.0,289.2700987240782,0.0,0.0,0.0,0.0,289.2700987240782
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,1,00:20,execution,681.4372172534233,681.4372172534233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,2,00:30,00:00,460.36041666666665,460.36041666666665,0.0,0.0,196.52786187499999,0.0,0.0,0.0,0.0,196.52786187499999
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,2,00:30,00:00,460.36041666666665,460.36041666666665,0.0,0.0,196.52786187499999,0.0,0.0,0.0,0.0,196.52786187499999
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,2,00:30,execution,460.36041666666665,460.36041666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,3,00:40,00:00,456.77064999999993,456.77064999999993,0.0,0.0,195.13242168,0.0,0.0,0.0,0.0,195.13242168
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,3,00:40,00:00,456.77064999999993,456.77064999999993,0.0,0.0,195.13242168,0.0,0.0,0.0,0.0,195.13242168
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,3,00:40,execution,456.77064999999993,456.77064999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,4,00:50,00:00,460.46558749999997,460.46558749999997,0.0,0.0,196.66485242124998,0.0,0.0,0.0,0.0,196.66485242124998
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,4,00:50,00:00,460.46558749999997,460.46558749999997,0.0,0.0,196.66485242124998,0.0,0.0,0.0,0.0,196.66485242124998
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,4,00:50,execution,460.46558749999997,460.46558749999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,5,01:00,00:00,475.88999999999993,475.88999999999993,0.0,0.0,203.91886499999995,0.0,0.0,0.0,0.0,203.91886499999995
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,5,01:00,00:00,475.88999999999993,475.88999999999993,0.0,0.0,203.91886499999995,0.0,0.0,0.0,0.0,203.91886499999995
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,5,01:00,execution,475.88999999999993,475.88999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,6,01:10,00:00,486.27471249999996,486.27471249999996,0.0,0.0,209.63302855874997,0.0,0.0,0.0,0.0,209.63302855874997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,6,01:10,00:00,486.27471249999996,486.27471249999996,0.0,0.0,209.63302855874997,0.0,0.0,0.0,0.0,209.63302855874997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,6,01:10,execution,486.27471249999996,486.27471249999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,7,01:20,00:00,475.97909583333325,475.97909583333325,0.0,0.0,204.76620702749997,0.0,0.0,0.0,0.0,204.76620702749997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,7,01:20,00:00,475.97909583333325,475.97909583333325,0.0,0.0,204.76620702749997,0.0,0.0,0.0,0.0,204.76620702749997
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,7,01:20,execution,475.97909583333325,475.97909583333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,8,01:30,00:00,462.72,462.72,0.0,0.0,197.99788800000002,0.0,0.0,0.0,0.0,197.99788800000002
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,8,01:30,00:00,462.72,462.72,0.0,0.0,197.99788800000002,0.0,0.0,0.0,0.0,197.99788800000002
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,8,01:30,execution,462.72,462.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,9,01:40,00:00,480.70310833333326,480.70310833333326,0.0,0.0,207.2791803133333,0.0,0.0,0.0,0.0,207.2791803133333
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,9,01:40,00:00,480.70310833333326,480.70310833333326,0.0,0.0,207.2791803133333,0.0,0.0,0.0,0.0,207.2791803133333
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,9,01:40,execution,480.70310833333326,480.70310833333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,period_total,10,01:50,00:00,499.92819999999995,499.92819999999995,0.0,0.0,216.61888906,0.0,0.0,0.0,0.0,216.61888906
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,10,01:50,00:00,499.92819999999995,499.92819999999995,0.0,0.0,216.61888906,0.0,0.0,0.0,0.0,216.61888906
2025-02-01,M0,causal_load_main,linear_anchor_main,anchor_final_main,True,2025-02-01__M0__causal_load_main__linear_anchor_main__anchor_final_main__48h,event,10,01:50,execution,499.92819999999995,499.92819999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
