strategy,year_end_boundary,year_end_soc_kwh,load_information_case,pv_mapping_mode,settlement_mode,with_terminal_value,n_days,total_cost_yuan,settlement_cost_yuan,emergency_cost_yuan,emergency_kwh,curtailment_kwh,charge_kwh,discharge_kwh,adjustment_count,up_adjust_kwh,down_adjust_kwh,soc_start_dec01_kwh,soc_end_dec31_kwh,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_cd_kwh2,locked_period_violations,runtime_seconds,cost_rank_within_boundary
M0,A_q2_aligned,1200.0,causal_load_main,linear_anchor_main,anchor_final_main,True,31,1879051.1446644107,1421246.9064387803,457804.2382256303,139977.0695106582,485.7853791666642,745012.334406486,675064.780796482,0,0.0,0.0,6000.0,1200.0,4.773642103828024e-08,5.031870387028903e-08,0.0,0,124.82606635000957,4.0
M12_only,A_q2_aligned,1200.0,causal_load_main,linear_anchor_main,anchor_final_main,True,31,1841057.7548222817,1442486.7168808081,398571.0379414734,120185.02366931317,149.24921900709992,744876.2595750667,674942.3134481569,31,28713.66564673909,17638.43464045982,6000.0,1200.0,3.410605131648481e-12,4.826392796530854e-08,0.0,0,123.72664644598808,2.0
M18_only,A_q2_aligned,1200.0,causal_load_main,linear_anchor_main,anchor_final_main,True,31,1879156.9138348668,1421350.0808999813,457806.8329348854,139980.25783563804,485.7853791666642,744966.2420133697,675023.2976426773,5,103.78684076742519,65.49201132082673,6000.0,1200.0,4.773642103828024e-08,5.031870387028903e-08,0.0,0,123.54744297100297,5.0
M1_M6,A_q2_aligned,1200.0,causal_load_main,linear_anchor_main,anchor_final_main,True,31,1830895.7159885748,1452044.9385898157,378850.77739875886,113576.87370478932,137.7762454692341,746919.2184381374,676780.9764249204,68,43949.88861794779,32768.45880651273,6000.0,1200.0,2.9331204132176936e-11,4.826392796530854e-08,0.0,0,137.0752100680129,1.0
M6_only,A_q2_aligned,1200.0,causal_load_main,linear_anchor_main,anchor_final_main,True,31,1847941.7440551026,1451118.3604317661,396823.3836233362,119535.53117356937,476.78719583333475,746363.3251702485,676280.6724838683,31,42680.033565331825,32392.468522609837,6000.0,1200.0,4.774005901708733e-08,5.032234184909612e-08,0.0,0,124.15750748199753,3.0
M0,B_energy_neutral,6000.0,causal_load_main,linear_anchor_main,anchor_final_main,True,31,1881306.580861142,1423352.4305804977,457954.1502806442,140020.2587786343,485.7853791666642,749450.7907070676,674505.711636403,0,0.0,0.0,6000.0,6000.0,2.5863755581667647e-11,4.437242751009762e-08,0.0,0,122.19442887900368,4.0
M12_only,B_energy_neutral,6000.0,causal_load_main,linear_anchor_main,anchor_final_main,True,31,1843313.1910193737,1444592.2410225556,398720.9499968182,120228.21293740023,149.24921900709992,749314.7158755849,674383.2442880686,31,28713.66564676309,17638.43464045983,6000.0,6000.0,3.410605131648481e-12,4.437242751009762e-08,0.0,0,123.75937685700774,2.0
M18_only,B_energy_neutral,6000.0,causal_load_main,linear_anchor_main,anchor_final_main,True,31,1881412.3500315978,1423455.6050416986,457956.7449898989,140023.447103614,485.7853791666642,749404.6983139496,674464.228482597,5,103.78684076742519,65.49201132082673,6000.0,6000.0,2.9331204132176936e-11,4.437242751009762e-08,0.0,0,123.76415906000693,5.0
M1_M6,B_energy_neutral,6000.0,causal_load_main,linear_anchor_main,anchor_final_main,True,31,1833158.5958831145,1454156.105990943,379002.48989217123,113620.85471208463,137.7762454692341,751352.7077802704,676217.4370022855,68,43954.358880471824,32768.45880651272,6000.0,6000.0,2.9331204132176936e-11,4.437242751009762e-08,0.0,0,127.69984002898673,1.0
M6_only,B_energy_neutral,6000.0,causal_load_main,linear_anchor_main,anchor_final_main,True,31,1850180.1549507328,1453223.8845734836,396956.27037724905,119574.51463917692,476.78719583333475,750801.7814707913,675721.6033237544,31,42680.03356533178,32392.468522609837,6000.0,6000.0,2.5863755581667647e-11,4.437242751009762e-08,0.0,0,124.5145632619824,3.0
