calibration_date,risk_alpha,k_target,validation_days,mean_validation_cost_yuan,standard_error_yuan,total_planned_fee_yuan,total_emergency_fee_yuan,total_cost_yuan,total_unused_quota_kwh,emergency_purchase_kwh,soc_window_start_kwh,soc_window_end_kwh,daily_soc_end_path_kwh,all_value_cuts_present,no_future_info,used_full_day_actual_scheduler,mean_elapsed_seconds,mean_solve_seconds,policy_loop,fallback_reason,selected
2025-01-29,0.6,8,14,63891.731914403,6331.724044288243,874683.5314011296,19800.715400512287,894484.246801642,126253.26360738913,5279.071716928347,3568.1912366875945,5567.584575172764,3628.171517;2653.562508;4142.093658;9248.017239;4147.070078;4741.736684;5283.811107;4355.831912;2970.250803;5268.938971;9924.629626;4790.241807;5294.336665;5567.584575,True,True,False,6.044420241214019,6.044420241214019,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,True
2025-01-29,0.7,8,14,63934.7460032804,6323.184023881365,875620.6996785646,19465.74436736114,895086.4440459256,126029.95909066309,5231.036255401202,3568.1912366875945,5567.584575172764,3620.203520;2729.617805;4142.093658;9315.298316;4147.070078;4741.316816;5281.111728;4355.831912;2970.250803;5268.938971;9928.069639;4790.241807;5294.336664;5567.584575,True,True,False,6.03461250014204,6.03461250014204,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-01-29,0.8,8,14,64264.936487874365,6232.935230741487,881388.1961142737,18320.91471596728,899709.1108302411,128194.20259494444,5177.637375518721,3568.1912366875945,5614.404438147734,3592.405015;2827.829861;4206.999102;9315.298316;4142.921498;4741.316816;5136.472529;4349.476395;2979.863328;5421.632291;9928.069639;4790.241807;5293.772907;5614.404438,True,True,False,6.387961863857137,6.387961863857137,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-01-29,0.9,8,14,64932.531035136744,5986.4474967177875,895797.0412423826,13258.393249531715,909055.4344919145,130592.14063261414,4096.711625550643,3568.1912366875945,5540.756989912522,3592.405015;2923.665840;4206.999103;9340.207312;4135.957237;4741.316815;5156.715077;4324.424230;3033.368820;5385.192230;9932.382986;4789.004731;5319.903235;5540.756990,True,True,False,6.187943180357771,6.187943180357771,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-02-12,0.6,8,14,49190.60186265413,5330.297313396235,678260.261470581,10408.164606576729,688668.4260771578,57788.65362252843,2610.54621015099,5567.584575172764,7159.8171134632075,7648.421234;2856.897139;5541.101078;10780.819761;8809.073217;8667.379342;8761.825315;9854.454897;2694.505416;8678.905247;10414.326136;7707.378880;8293.486218;7159.817113,True,True,False,6.105261389926974,6.105261389926974,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,True
2025-02-12,0.7,8,14,49296.95262224356,5313.590980540306,679192.3051131398,10965.031598269943,690157.3367114099,57809.86850989074,2751.9740911071463,5567.584575172764,7159.8171134632075,7648.421234;2856.897139;5592.075518;10780.819761;8801.173197;8667.379342;8599.011968;9854.454897;2694.505416;8599.310345;10415.854559;7613.110426;8293.190372;7159.817113,True,True,False,6.100952698568498,6.100952698568498,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-02-12,0.8,8,14,49403.46852015762,5306.858707150285,680166.7915728025,11481.767709404296,691648.5592822067,57781.39788844924,2827.4876892744624,5567.584575172764,7159.817112597785,7647.218364;2856.897139;5592.075518;10780.819761;8801.173197;8662.709399;8761.029032;9849.894380;2694.505651;8686.470780;10415.854560;7523.051997;8247.317870;7159.817113,True,True,False,6.075200179931666,6.075200179931666,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-02-12,0.9,8,14,50321.63089742044,5057.857171392164,694289.624722437,10213.207841448986,704502.8325638861,63743.38811015093,2638.6609238826363,5567.584575172764,7159.817112814137,7577.793738;2764.674389;5734.101767;10780.819761;8758.164335;8649.413857;8761.029032;9849.894380;2694.505650;8691.595933;10397.649737;7523.051997;8247.317870;7159.817113,True,True,False,6.092148292857538,6.092148292857538,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-02-26,0.6,8,14,43999.91372470478,4625.591964783329,581185.1649579317,34813.62718793516,615998.7921458669,62999.8379281528,9415.631038324527,7159.8171134632075,5135.139380242664,8191.779003;2680.407423;7378.939575;9791.520925;7085.226728;7047.505347;5935.583054;6658.531756;2264.316199;6589.057889;10154.305163;5208.095864;5315.774933;5135.139380,True,True,False,5.558304177359138,5.558304177359138,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,True
2025-02-26,0.7,8,14,44056.27918997211,4616.033249328644,582522.4025166892,34265.50614292048,616787.9086596096,64373.45022892846,9249.680962610633,7159.8171134632075,5137.167190792233,8191.779004;2687.957981;7378.939575;9791.513669;7080.844204;6800.957550;5935.583054;6658.531756;2264.316199;6628.615884;10154.305163;5208.095864;5315.774933;5137.167191,True,True,False,5.60985462699942,5.60985462699942,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-02-26,0.8,8,14,44212.67642915095,4551.12328094078,584503.6688184973,34473.801189615886,618977.4700081133,65794.36693160376,9411.17812219417,7159.8171134632075,5137.167190792233,8191.779004;2687.957981;7387.097448;9791.513669;7080.844204;6785.337286;5911.057007;6639.734414;2264.316199;6540.777754;10117.534375;5184.075272;5315.774932;5137.167191,True,True,False,5.632987337714959,5.632987337714959,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-02-26,0.9,8,14,44288.512380289794,4527.155575850976,585442.827840336,34596.34548372099,620039.1733240571,67077.91604010222,9482.267133617232,7159.8171134632075,5137.167190792216,8191.779004;2687.957981;7389.928463;9772.969543;7080.844204;6785.337286;5911.057007;6639.734414;2264.316199;6641.667622;10117.534375;5186.010892;5315.774932;5137.167191,True,True,False,5.663664265000469,5.663664265000469,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-03-12,0.6,8,14,42235.46898922837,4955.001955757657,505401.91351071914,85894.65233847813,591296.5658491972,31511.65964871648,21258.73776332038,5135.139380242664,5859.66431411108,8113.665737;2128.123096;6582.433030;10336.831309;7231.552556;4399.095879;7137.252326;7386.400113;1920.760554;3537.651694;10640.353171;5939.754648;4960.447646;5859.664314,True,True,False,5.363322851786506,5.363322851786506,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-03-12,0.7,8,14,42221.822346491375,4947.925555994857,506101.14925094415,85004.36359993514,591105.5128508792,32076.13141958562,21033.640735037065,5135.139380242664,5859.664314111232,8113.665737;2128.123096;6600.557124;10336.831308;7231.552556;4399.095879;7137.252326;7386.400113;1920.760554;3537.719375;10641.470672;5939.754648;4966.300144;5859.664314,True,True,False,5.3941683055018075,5.3941683055018075,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,True
2025-03-12,0.8,8,14,42494.40171437246,4894.397087368144,509039.2259795385,85882.39802167598,594921.6240012145,34735.6312741755,21365.83117810859,5135.139380242664,5859.664314112715,8113.665737;2128.258355;6600.557124;10340.848115;7231.552556;4375.483244;7137.344842;7386.400113;1920.760554;3547.752717;10640.353171;5939.754648;5045.922814;5859.664314,True,True,False,5.413030062072461,5.413030062072461,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-03-12,0.9,8,14,42677.919070133335,4872.234331020027,511213.3986474671,86277.46833439947,597490.8669818667,36362.51565213626,21631.71753896587,5135.139380242664,5859.66431411199,8113.665737;2128.258355;6600.557124;10340.848115;7231.552556;4396.038758;7182.139226;7386.400113;1920.760554;3548.428758;10645.834830;5939.754648;5066.707111;5859.664314,True,True,False,5.415702460856535,5.415702460856535,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-03-26,0.6,8,14,37208.8619894178,3941.9552275556725,450633.4494554087,70290.61839644048,520924.0678518492,29870.56075834738,19220.312015373536,5859.66431411108,7256.3960567611275,6468.325169;1959.687402;5762.841825;10165.425466;7297.573088;6225.800949;5573.082277;7125.188613;2317.040994;5763.915481;9934.827850;6073.591144;5950.301975;7256.396057,True,True,False,5.316002038000859,5.316002038000859,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,True
2025-03-26,0.7,8,14,37251.088316218746,3918.0430723425175,452006.74059350666,69508.49583355579,521515.2364270625,30676.510151363695,19067.24077060307,5859.66431411108,7256.3960567611275,6448.847768;1959.687402;5735.573145;10147.078341;7297.573088;6225.800949;5580.777715;7125.188613;2317.040994;5758.536486;9960.628316;6073.591144;5950.301975;7256.396057,True,True,False,5.411187140783503,5.411187140783503,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-03-26,0.8,8,14,37331.86717307414,3841.1809482395556,455808.1202541212,66838.02016891674,522646.1404230379,33219.186931855045,18775.333289066723,5859.66431411108,7256.3960567611275,6448.408598;1959.687402;5666.943236;10115.837329;7297.573088;6225.800948;5582.035846;7125.188613;2317.040994;5677.406694;9961.284050;6060.170181;5950.061535;7256.396057,True,True,False,5.529268347355745,5.529268347355745,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-03-26,0.9,8,14,37550.05637099276,3769.205441529348,460730.4816628089,64970.307531089704,525700.7891938987,37082.21252240119,18380.903779621123,5859.66431411108,7256.396057222238,6426.956563;1959.687402;5479.345522;10115.837329;7297.573088;6225.800948;5595.762604;7125.188613;2317.040994;6030.478010;9957.899873;6196.082737;5950.061535;7256.396057,True,True,False,5.50801344906982,5.50801344906982,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
2025-04-09,0.6,8,14,37000.4253465617,4141.419072212372,398546.1232343506,119459.83161751326,518005.9548518638,25549.880346372818,36493.02394917262,7256.3960567611275,5225.403611142893,5366.365728;2274.830139;5803.419438;10094.094480;5656.245156;4270.904753;3962.268255;7655.467218;2129.896763;6522.385725;10418.126618;7908.923403;5283.504533;5225.403611,True,True,False,5.31373995535666,5.31373995535666,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,True
2025-04-09,0.7,8,14,37048.521260043446,4116.933672270472,399369.5098739761,119309.7877666321,518679.2976406083,26365.28106039181,36556.511133991255,7256.3960567611275,5221.076805846082,5366.365729;2274.830139;5779.478483;10116.300672;5656.245157;4293.935591;3973.803542;7657.692299;2129.896763;6522.385725;10424.106217;7908.923403;5283.504533;5221.076806,True,True,False,5.326847148358605,5.326847148358605,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,,False
