date,day_index,history_cutoff_date,k_target,k_effective,risk_alpha,risk_q_floor_kwh,price_source,chosen_price_model,planned_q_kwh,planned_q_sha256,n_scenarios,load_information_case,year_end_rule,settlement_rule
2025-01-01,0,,8,1,,0.0,attachment1_no_history,-1,60085.887737157514,a48d5508fade100cc60df51c47b9809ef1af9f253ba13c4caf1c67fd58a000ff,1,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-02,1,2025-01-01,8,1,,0.0,price_module,1,74989.60127818906,729fc05e3d329315f2efaa8dcf5fdd882d0a00a40bcb1f471fef2e5035f24440,1,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-03,2,2025-01-02,8,1,,0.0,price_module,1,95810.4655126285,3121e7d75036ed074b091d7cf5b0be3af405e0428b08ccdcd1c3d9b5b693ee25,1,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-04,3,2025-01-03,8,2,,0.0,price_module,1,88860.93514926112,f374e4970ee304ed7647bd8bc54376f577ee8a3e945831395f83285d353221c4,2,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-05,4,2025-01-04,8,3,,0.0,price_module,1,86741.51383827484,26ac68165b2ea4ac82704cc71ac121fd57e2f588a2f465baa7e8399458eec622,3,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-06,5,2025-01-05,8,4,,0.0,price_module,1,94222.5987586812,8ad8cfc15160a22e6d755baa6891c57d9d97eae2ece90452981ec77e00f7d8bd,4,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-07,6,2025-01-06,8,5,,0.0,price_module,1,95565.6011672462,c80f9b6be696672f0bd9ad49a9a0ce3860765345fe35e9138126e70325615a1e,5,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-08,7,2025-01-07,8,6,,0.0,price_module,1,110342.68571746297,36863e3bb25885eea78f76ad935e0b514650e9d6dbb8036589adb16127dbb4a8,6,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-09,8,2025-01-08,8,7,,0.0,price_module,1,110820.52882671467,f4c9358273fc8e749449bef87b52c60b57001c346cd52d38af8ebd95c11b9476,7,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-10,9,2025-01-09,8,8,,0.0,price_module,1,64392.44668691,9d57421908ce8aec9f5ce9682177b5b87361e83b8a6ec088b2f0bce671d0a2a8,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-11,10,2025-01-10,8,8,,0.0,price_module,1,67491.60237120843,6e9550b7bbd61bb3db71953a6b58870d012afd03d85593c8369ef4c74fa6addb,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-12,11,2025-01-11,8,8,,0.0,price_module,1,110649.98077412583,5bd47525424e5cf484e0bea651466edfad79a6a62e8a2f14f7f9267c2894729c,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-13,12,2025-01-12,8,8,,0.0,price_module,1,104123.74985028274,68b35a4e632f020d8621df38a9eda6ba7edd6b746c1bd40392c05dbf90fd5949,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-14,13,2025-01-13,8,8,,0.0,price_module,1,108302.3865733433,085c7819c776792713f4eefee284f5c2945bad9d3ec5f1e8495e87ad68e27dfa,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-15,14,2025-01-14,8,8,,0.0,price_module,1,108095.63182851218,f8d1b78f550331c15b38528dcd58a9c9075b370500d3e729d3c6f53eb4d6d917,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-16,15,2025-01-15,8,8,,0.0,price_module,2,106460.69235505225,418959666bac2cbc45af54bac3286a786f3a5e6a5c34a46a0512d046876898cd,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-17,16,2025-01-16,8,8,,0.0,price_module,2,62858.538772828164,71252fc0de4832fbd98161960ffcbaf7037ec56dd3a75914a9cc002a6f848c23,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-18,17,2025-01-17,8,8,,0.0,price_module,2,66182.31144964053,54335a4ceef82d23f00db65c12576cedba6c8420a7a54ed7a59ea26d19b969bd,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-19,18,2025-01-18,8,8,,0.0,price_module,2,101023.07879665901,1dca322c0f9cb00a737cf6e442adee12667df5f876e2e196eafbefba541b82a5,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-20,19,2025-01-19,8,8,,0.0,price_module,2,105029.51159330092,926c356bb63a03d1dd9e42eb20d07d46d6b30f964cf906841d18ea752b720ef4,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-21,20,2025-01-20,8,8,,0.0,price_module,2,98827.45726420172,8b4aab8ea6754354e40dbff3a9f1978e5592374cdc92b4ac11c363ffb531cb58,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-22,21,2025-01-21,8,8,,0.0,price_module,2,96197.4887107581,f14d81b79517c15ca9a8a2f8e346cbaf9bd0c89d70c5e763d5e6e045560eaff5,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-23,22,2025-01-22,8,8,,0.0,price_module,2,94859.8733592953,ca17d1aa2fb49abc51d93d9f035f8dc0e1004832b3e8ddc6a89353f27dab8528,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-24,23,2025-01-23,8,8,,0.0,price_module,2,51158.23636035275,61bc2dd4b98be21f35ab3e2c18806e2fe453200bb75c3bf8c74465c59c0f0764,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-25,24,2025-01-24,8,8,,0.0,price_module,2,52068.53276282224,1836d7c8a2653340aa98ee0cc7d9f73333a5c06876305925944f94295b226e5f,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-26,25,2025-01-25,8,8,,0.0,price_module,2,85357.75356685853,2e3dc3a6167015388ab83ce217ca48913c8aee438c1a173528219dbc31afd2b1,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-27,26,2025-01-26,8,8,,0.0,price_module,2,90686.49559361712,4aa31659d6d59c426eddd1e6c64068b6643f673cab5970eec4ed95e88f9057f3,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-28,27,2025-01-27,8,8,,0.0,price_module,2,90506.41409660986,6f2a4f41bfc8fad760b10fb0453625745303f93d328b810f7533cbb78a505cc9,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-29,28,2025-01-28,8,8,0.6,2979.1440285714293,price_module,2,91616.02601282517,574030b015906be14e3b35c1621e0afe94de45cfac16477bd4a8df5d4d40d347,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-30,29,2025-01-29,8,8,0.6,2063.0475484126982,price_module,2,84603.42650208095,7b01473a193012cbfb507b8415b41603748025c930e206ba3e0d14ac71e14740,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-01-31,30,2025-01-30,8,8,0.6,2016.9030428571434,price_module,2,45322.42925299551,a4d12856e9adb5174ef7c9642169d43d6416f09bee97fb383ee7ac1ddd470932,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-01,31,2025-01-31,8,8,0.6,1575.2650714285712,price_module,2,47407.954848153226,1562f6bd214af2a6b2ea8c390fab6c5f60ccaac1168e38f4cf0203dde6019ef4,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-02,32,2025-02-01,8,8,0.6,1598.2245218253975,price_module,2,85355.72817874185,586c7c841ac9ad28b02612db6800f28266abd0702ae39570d717d4b3be09bc13,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-03,33,2025-02-02,8,8,0.6,929.3611646825399,price_module,2,85582.16919946473,5445f338234da4feaf4eac294366d9973f1eb710cd46fb3e6a7a490f9c181c5f,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-04,34,2025-02-03,8,8,0.6,1082.4677531746033,price_module,2,87002.01399600954,e8d4dd0e2b863a7a8a6288f7e1e69daec9a037bbef0a81245e1e27ea2d1dc09c,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-05,35,2025-02-04,8,8,0.6,666.5726938492066,price_module,2,87373.1227855893,12cbad0f41fb1a19c4fd4ee861d3ebc32e67ac780e8301df1cffcd9b9cd1b6a3,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-06,36,2025-02-05,8,8,0.6,609.6614396825398,price_module,2,79539.90068152579,a17487742850cd9a5fb812b2c40e4e219cad0c8d118852047f591d3af32214da,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-07,37,2025-02-06,8,8,0.6,471.6157027777777,price_module,2,46112.80336968181,bbdef65d7f40cd86766e66ff15e7428999a385a3962bb7f11656621e51dd98a6,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-08,38,2025-02-07,8,8,0.6,493.0636972222218,price_module,2,40563.57012468516,b88fae8b2f93809a7419d18c6a90199882ba0ce90079d5fbef1920d413d4c9ff,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-09,39,2025-02-08,8,8,0.6,917.6361882936507,price_module,2,82175.3697196151,90d9c15d5ef237ac224e7a557e96387003d2a25785d87eb9ca40903212e814a0,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-10,40,2025-02-09,8,8,0.6,848.8943269841274,price_module,2,86226.6031328048,bcc122f0956251faea57f9712eea138729904d5ac299de133e9e6ba97133c9a2,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-11,41,2025-02-10,8,8,0.6,848.3621033730155,price_module,2,83874.36894066786,14d8a7f242018196fdeba38ad3bbce5bac36ac06f9bb5b375ea098c6bd0c79ec,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-12,42,2025-02-11,8,8,0.6,979.8838650793667,price_module,2,85340.49997857802,fdab4c39e11b434fb872318eb648f8346bce652d22a90da0445607653c282a6f,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-13,43,2025-02-12,8,8,0.6,271.0884746031742,price_module,2,77501.79793046135,be552a73bd5270ba55f46c0bb7f55e2de1a05c685bef82de356e3dfcc99b69a7,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-14,44,2025-02-13,8,8,0.6,680.1412990079376,price_module,2,41847.27690591011,afed75317ac75896621ff2d3076a3933f30bc7897a939d6ad9ee6747e7f28350,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-15,45,2025-02-14,8,8,0.6,586.2183626984122,price_module,2,39372.52376388696,418ba0991b1da335ce852e51787b2694ee09361ea392b2eb7307102d566a769a,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-16,46,2025-02-15,8,8,0.6,191.56074980158758,price_module,2,77341.9374979005,b8e597bfd26719a2746e40b59c1716874a66ee7ffacdc1b6b9445d1c3e9d135e,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-17,47,2025-02-16,8,8,0.6,399.0559234126978,price_module,2,79544.85578614593,c4883dfcbb84cb51790d0cf4e608932be45d81d0919f22917d85f1db4faf8781,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-18,48,2025-02-17,8,8,0.6,356.4816716269838,price_module,2,78218.85059650856,ddf5000cac961f1741af586484fe55ba394a713d8bd9d5d3fc836062f29101db,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-19,49,2025-02-18,8,8,0.6,433.1365382936501,price_module,2,79914.89830152631,9605c0fe8cf54e491cd641ba1dd71597282661ae35d1dbfc248fbb80e2a94d2b,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-20,50,2025-02-19,8,8,0.6,338.83452896825395,price_module,2,74245.1828051786,fa80ea65e19f1a9af9a6651ecdd0e0f1aa3bd461ea6076859ae6e79dce83ae4e,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-21,51,2025-02-20,8,8,0.6,98.54120674603166,price_module,2,39146.82829340954,69e41272930babb413d902f399de9f6d63b21c8f429682da482561bb52ec628d,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-22,52,2025-02-21,8,8,0.6,264.10363928571434,price_module,2,37884.76978901942,fc044b92fd84c3a350b65da2510e0c0736b99773aaf7e0295f41c1d58651d6b4,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-23,53,2025-02-22,8,8,0.6,290.02679801587317,price_module,2,71399.42369321169,0bb7e160ac0c4ad990c988216e4b064cbbb7bbf0eef20bc79ca6e0ae12840403,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-24,54,2025-02-23,8,8,0.6,280.8822160714292,price_module,2,76449.93365928164,96a07e0b4af5d15572e2c56a2a1c0e89c1f410d21bc7dcb7320e5ce8f163669c,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-25,55,2025-02-24,8,8,0.6,265.10282857142965,price_module,2,75641.26167903905,cfe06a6665baf725a7badd48149c8aa5f9b3065afd4b0c6795fa768a7a44e853,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-26,56,2025-02-25,8,8,0.6,101.18978750000042,price_module,2,76416.08005339911,4024814cc3472ad275013de740ace46b4300648426cff7d64c0828c0e9b08589,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
2025-02-27,57,2025-02-26,8,8,0.6,173.80583333333368,price_module,2,66627.78554475342,55235eae556bce5a55f1ca20d4560658926acee3d20b3960fdcc6bc0a608f51e,8,causal_load_main,q2_accepted_no_hard_terminal,delivery_time_actual_price
