calibration_date,calibration_day_index,risk_alpha,k_target,validation_days,mean_validation_cost_yuan,standard_error_yuan,total_planned_fee_yuan,total_emergency_fee_yuan,total_cost_yuan,total_unused_quota_kwh,emergency_purchase_kwh,soc_window_start_kwh,soc_window_end_kwh,daily_soc_end_path_kwh,all_value_cuts_present,no_future_info,used_full_day_actual_scheduler,mean_elapsed_seconds,mean_solve_seconds,policy_loop,fallback_reason
2025-01-29,28,0.6,4,14,62821.581822204855,6139.561233722444,837938.6844407989,41563.46107006909,879502.1455108679,95851.4137733928,10003.280919905963,3568.1912366875945,4764.21890677958,4181.774877;2818.186580;5948.196220;9994.757643;4133.316982;3747.967754;5049.106247;4894.302389;2705.094598;6300.428277;10356.522643;6301.577353;4931.084586;4764.218907,True,True,False,5.11451220699954,5.11451220699954,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-01-29,28,0.6,8,14,63891.731914403,6331.724044288243,874683.5314011296,19800.715400512287,894484.246801642,126253.26360738913,5279.071716928347,3568.1912366875945,5567.584575172764,3628.171517;2653.562508;4142.093658;9248.017239;4147.070078;4741.736684;5283.811107;4355.831912;2970.250803;5268.938971;9924.629626;4790.241807;5294.336665;5567.584575,True,True,False,6.055751649642583,6.055751649642583,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-01-29,28,0.6,12,14,63612.82299294375,6349.954551723389,876194.9943154742,14384.527585738335,890579.5219012125,129151.16229623079,3569.096714582141,3568.1912366875945,4680.050130812786,3966.544966;3290.157977;3603.352607;10041.473648;4012.426416;4827.257708;5021.230236;4361.393480;2979.926961;5917.602489;9949.046034;4225.583247;4940.605207;4680.050131,True,True,False,7.162451717356556,7.162451717356556,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-02-12,42,0.6,4,14,49405.03976942691,5251.385190739915,676296.1901195206,15374.36665245612,691670.5567719768,52517.23126065357,4450.755013669072,5567.584575172764,7136.698123503642,7023.031442;2858.078740;6381.644332;10227.175362;8624.894001;8774.855707;7222.117761;9247.223273;2588.265869;7821.700877;10800.000000;8363.935847;9409.662903;7136.698124,True,True,False,5.173717882000866,5.173717882000866,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-02-12,42,0.6,8,14,49190.60186265413,5330.297313396235,678260.261470581,10408.164606576729,688668.4260771578,57788.65362252843,2610.54621015099,5567.584575172764,7159.8171134632075,7648.421234;2856.897139;5541.101078;10780.819761;8809.073217;8667.379342;8761.825315;9854.454897;2694.505416;8678.905247;10414.326136;7707.378880;8293.486218;7159.817113,True,True,False,6.125553200357119,6.125553200357119,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-02-12,42,0.6,12,14,49208.06951114933,5340.5194008131175,678893.7970291483,10019.176126942379,688912.9731560907,57718.962270713,2487.9689284943775,5567.584575172764,7291.597960140336,7734.875589;2986.056019;5137.153755;10780.819761;10049.824307;8989.148985;7911.571317;9414.644116;2774.577807;8560.044855;10464.835428;7555.180570;8769.321350;7291.597960,True,True,False,7.394124670430236,7.394124670430236,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-02-26,56,0.6,4,14,44204.8324198188,4634.899021004537,582462.8129689145,36404.84090854866,618867.6538774632,63937.59720061674,9644.286983857717,7159.817113463208,4698.371149806101,8462.670289;2725.174206;6955.750492;9635.390569;7329.947596;8217.708719;6760.646540;7112.711593;2266.628490;5730.501101;10053.796919;6157.436127;5193.036589;4698.371150,True,True,False,4.708254524501951,4.708254524501951,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-02-26,56,0.6,8,14,43999.91372470478,4625.591964783329,581185.1649579317,34813.62718793516,615998.7921458669,62999.8379281528,9415.631038324527,7159.817113463208,5135.139380242664,8191.779003;2680.407423;7378.939575;9791.520925;7085.226728;7047.505347;5935.583054;6658.531756;2264.316199;6589.057889;10154.305163;5208.095864;5315.774933;5135.139380,True,True,False,5.722554966712778,5.722554966712778,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-02-26,56,0.6,12,14,44322.974251766944,4609.098922983741,581191.1404570569,39330.499067680365,620521.6395247373,64417.773962827225,11028.61401692149,7159.817113463208,5174.102888264275,7057.770408;2600.171255;6646.573010;9951.424464;6856.874658;6720.638100;5168.278054;7104.279064;2273.401064;5822.245322;9800.069360;6557.948820;5756.527924;5174.102888,True,True,False,6.547115367785799,6.547115367785799,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-03-12,70,0.6,4,14,42899.400403854976,5048.632849128393,501010.63569787005,99580.96995609964,600591.6056539697,26441.39839276526,25134.644956936096,5135.139380242664,7373.119509098313,8254.211112;2241.704473;5674.327195;10361.350408;6668.965507;4326.839078;6743.753265;6603.190549;1929.580920;3464.493777;10598.226102;5869.074689;5812.707235;7373.119509,True,True,False,4.5664051969277875,4.5664051969277875,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-03-12,70,0.6,8,14,42235.46898922837,4955.001955757657,505401.91351071914,85894.65233847813,591296.5658491972,31511.65964871648,21258.73776332038,5135.139380242664,5859.66431411108,8113.665737;2128.123096;6582.433030;10336.831309;7231.552556;4399.095879;7137.252326;7386.400113;1920.760554;3537.651694;10640.353171;5939.754648;4960.447646;5859.664314,True,True,False,5.398429604284631,5.398429604284631,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-03-12,70,0.6,12,14,42950.86235602678,5034.18960837163,505357.60178790794,95954.47119646696,601312.072984375,31883.8378290521,24081.589366234257,5135.139380242664,5734.402517563275,7200.267975;2071.572423;6249.219514;9921.396399;7244.094030;4743.135939;7231.258109;7536.350708;1944.783180;5009.509314;10328.560631;7611.022337;5767.166288;5734.402518,True,True,False,6.585097457714645,6.585097457714645,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-03-26,84,0.6,4,14,37908.94410267261,4037.4595228202948,447875.78605648456,82849.4313809319,530725.2174374165,31906.764119248637,22637.239813389067,5859.66431411108,5216.223202037094,4930.788097;1949.694604;4741.772709;10173.791083;5900.773094;4673.020871;5798.052653;4646.653296;2287.577004;5693.567711;9979.215040;5845.314838;5419.226727;5216.223202,True,True,False,4.64143510492795,4.64143510492795,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-03-26,84,0.6,8,14,37208.8619894178,3941.9552275556725,450633.4494554087,70290.61839644048,520924.0678518492,29870.56075834738,19220.312015373536,5859.66431411108,7256.3960567611275,6468.325169;1959.687402;5762.841825;10165.425466;7297.573088;6225.800949;5573.082277;7125.188613;2317.040994;5763.915481;9934.827850;6073.591144;5950.301975;7256.396057,True,True,False,5.372369411786037,5.372369411786037,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-03-26,84,0.6,12,14,37609.45730143357,4045.1894893896238,450015.0674628557,76517.3347572142,526532.40222007,31275.097743749444,21426.712495276,5859.66431411108,7278.214039780285,5701.040905;1959.687402;5382.402421;10083.005254;7297.046114;6982.744675;6048.373397;6290.284471;1461.156992;5073.401431;9987.177229;5790.392837;6697.232685;7278.214040,True,True,False,6.4827816066431945,6.4827816066431945,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-04-09,98,0.6,4,14,37578.87774592698,4112.697027847963,398733.2173320903,127371.07111088732,526104.2884429777,30063.226431430205,38825.63449370091,7256.396056761127,5088.078975815868,6078.599033;1567.930490;5431.434294;10007.618460;6215.971694;5539.328263;5291.000275;5675.051529;2244.233161;6847.460270;10508.850559;7000.142481;5387.262693;5088.078976,True,True,False,4.575539727929156,4.575539727929156,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
2025-04-09,98,0.6,8,14,37000.4253465617,4141.419072212371,398546.1232343506,119459.83161751322,518005.9548518638,25549.880346372818,36493.02394917261,7256.396056761127,5225.403611142893,5366.365728;2274.830139;5803.419438;10094.094480;5656.245156;4270.904753;3962.268255;7655.467218;2129.896763;6522.385725;10418.126618;7908.923403;5283.504533;5225.403611,True,True,False,5.280517646143251,5.280517646143251,day_ahead_joint_q+locked_q+causal_mpc+next_day_value_cuts,
