date,day_index,strategy,load_information_case,year_end_boundary,year_end_soc_kwh,settlement_rule,price_mode,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,g_final_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,adjustment_count,locked_period_violations,max_balance_residual_kwh,max_simultaneous_cd_kwh2,runtime_seconds,max_x_minus_g_kwh,pass
2025-01-01,0,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,56456.771042249165,1237.45625010303,74615.73093294789,132309.9582253001,75056.25248134063,77831.05924447902,15537.822436175851,0.0,6000.0,4486.113509177605,2,0,2.2737367544323206e-13,0.0,4.508305091992952,0.0,True
2025-01-02,1,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,56731.08671908542,1280.311739568856,77411.44826142522,135422.84672007948,80567.1879135867,79390.63178025145,16317.912027257755,0.0,4486.113509177605,4273.810422018114,2,0,2.2737367544323206e-13,0.0,4.5239041239983635,0.0,True
2025-01-03,2,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,43493.12180274648,1109.7480728964706,103.21641108333333,44706.08628672628,84361.67668630724,81174.81564079241,45.949749999999995,3649.268410185187,4273.810422018114,10799.99999975326,2,0,1.1368683772161603e-13,0.0,4.509379238006659,0.0,True
2025-01-04,3,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,40997.086698871724,1090.4388262282043,1.2312425769778203e-07,42087.525525223056,75391.61687553782,75057.23322180094,5.2094037528149784e-08,3859.804963888889,10799.99999975326,10168.33503719676,2,0,1.1368683772161603e-13,0.0,4.493295781998313,0.0,True
2025-01-05,4,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,51363.63743432792,393.2763444866941,79165.459367821,130922.3731466356,68492.14801000568,69160.11149743301,16575.60642684128,0.0,10168.33503719676,2114.9391158532326,2,0,2.2737367544323206e-13,0.0,4.520345580007415,0.0,True
2025-01-06,5,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,57402.56575389792,367.75642750835897,74555.21311574531,132325.5352971516,81528.07389975461,81889.4026335807,15553.143303385332,0.0,2114.9391158532326,5546.077732069244,2,0,1.7053025658242404e-12,0.0,4.51983089800342,0.0,True
2025-01-07,6,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,56160.951408989546,2053.4038380439624,73196.4288512711,131410.78409830463,72512.66073192154,77003.52457499955,15324.005108993071,0.0,5546.077732069244,2228.7122577697937,2,0,2.2737367544323206e-13,0.0,4.561110532988096,0.0,True
2025-01-08,7,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,70748.62752761546,3110.626266479107,4423.582007873905,78282.83580196848,103469.27959983927,96682.90752757093,1179.6176914695668,0.0,2228.7122577697937,6162.625676784799,2,0,1.7053025658242404e-12,0.0,4.673288391000824,0.0,True
2025-01-09,8,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,70379.14507355656,1226.8159947650377,5490.042838375427,77096.00390669703,94631.85082003161,95388.07442614721,1401.4402798647,0.0023,6162.625676784799,7106.634426269219,2,0,2.2737367544323206e-13,0.0,4.609987263989751,0.0,True
2025-01-10,9,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,21841.915500768355,1583.8587448186295,4614.673762061994,28040.448007648978,57140.954158876724,51320.15593938199,1621.8772271648704,12.298833333333532,7106.634426269219,10743.699660198794,3,0,1.7053025658242404e-13,0.0,4.517882323008962,0.0,True
2025-01-11,10,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,20503.54185647612,148.4575715858304,1988.669577979769,22640.66900604172,46409.77278463343,46557.833048941946,813.2022446536022,84.8869664708717,10743.699660198794,9886.911622280062,2,0,1.1368683772161603e-13,0.0,4.351706258996273,0.0,True
2025-01-12,11,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,70210.71020801661,2252.7038024933468,3161.0665180863516,75624.48052859631,90576.56126429958,91169.69920263728,767.32315268814,0.0,9886.911622280062,4965.811926769077,2,0,2.2737367544323206e-13,0.0,4.534595700999489,0.0,True
2025-01-13,12,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,68011.18542077442,902.5672433221894,2002.6584086789114,70916.4110727755,93691.37084273313,91770.78731216148,535.8972256911005,0.0,4965.811926769077,3442.28835581497,2,0,1.7053025658242404e-12,0.0,4.446624878997682,0.0,True
2025-01-14,13,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,69520.1900038697,431.69644970700216,5019.937372959347,74971.82382653606,96890.6050423049,96136.54979608557,1264.5976011159999,0.0,3442.28835581497,6641.092343633708,2,0,2.2737367544323206e-13,0.0,5.434236083005089,0.0,True
2025-01-15,14,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,69650.05039057953,1615.7133941288146,5293.327152241967,76559.09093695034,90559.74797621582,94119.26699085481,1145.4581799257762,0.0,6641.092343633708,7525.022630376328,2,0,3.410605131648481e-12,0.0,5.453756308997981,0.0,True
2025-01-16,15,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,64828.26861886311,1040.6411425699762,5581.460224258733,71450.36998569181,83902.36251933109,85971.03401496347,1240.3720680646538,0.0,7525.022630376328,2002.5287212081823,2,0,3.410605131648481e-12,0.0,5.2626080570044,0.0,True
2025-01-17,16,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,21979.732657208853,152.72149068180198,1484.3947369166885,23616.848884807347,51344.21322605209,51161.76760769078,568.5378388930528,845.1437440260983,2002.5287212081823,6757.861215053081,3,0,1.1368683772161603e-13,0.0,5.069437939004274,0.0,True
2025-01-18,17,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,22056.532613754243,822.4180274511344,2122.87916521263,25001.82980641801,53611.89858379736,50227.12195098374,718.8992498157334,612.0327539289382,6757.861215053081,10684.078732743905,2,0,1.1368683772161603e-13,0.0,4.873721568990732,0.0,True
2025-01-19,18,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,66905.61142669257,1846.4076748871912,1555.1678321576758,70307.18693373744,85169.76814541378,89060.46590047044,382.01993680864905,0.0,10684.078732743905,6795.994539026829,2,0,2.2737367544323206e-13,0.0,5.087890495007741,0.0,True
2025-01-20,19,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,66389.53962765522,621.0909378457877,7046.848401805848,74057.47896730686,89937.76966691579,91082.70192299693,1590.3468880331914,0.0,6795.994539026829,7662.225272640807,2,0,5.229594535194337e-12,0.0,5.45624152799428,0.0,True
2025-01-21,20,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,63055.57345473173,565.8551360963731,2516.0592184391367,66137.48780926724,89623.87564266869,88551.80352368698,636.4274711195254,0.0,7662.225272640807,7841.368506729845,2,0,1.1368683772161603e-13,0.0,5.294245313998545,0.0,True
2025-01-22,21,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,68071.15844563386,614.6650393964098,3142.080207362298,71827.90369239257,94462.28852538549,93859.74487094133,732.008007915432,0.0,7841.368506729845,8946.575302125957,2,0,2.2737367544323206e-13,0.0,5.3061399510042975,0.0,True
2025-01-23,22,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,65776.36832857848,1459.8631802822713,3870.062522086627,71106.29403094736,83088.47226384004,85730.51365906085,972.6178119593534,0.0,8946.575302125957,2173.619673476943,2,0,2.2737367544323206e-13,0.0,5.262995263998164,0.0,True
2025-01-24,23,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,20886.16346689917,534.7267670687017,1000.8876091233597,22421.77784309123,47482.40295545227,49731.133483280864,407.25833737326855,552.8549357722303,2173.619673476943,8273.856557711017,3,0,1.1368683772161603e-13,0.0,4.944198277997202,0.0,True
2025-01-25,24,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,19090.65419807374,349.79241826222056,461.9993405415653,19902.445956877527,43509.375426422455,45048.63789754536,223.5675906201057,985.481305246913,8273.856557711017,10799.999999776963,3,0,1.1368683772161603e-13,0.0,4.7711384180001915,0.0,True
2025-01-26,25,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,66924.4548926257,1818.6414082522347,3081.4654527718812,71824.5617536498,94652.81003056857,90774.67996515201,769.4012307810112,0.0,10799.999999776963,9377.43120608793,2,0,1.7053025658242404e-12,0.0,5.453233759995783,0.0,True
2025-01-27,26,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,61622.046316245025,1196.9645036440875,2556.768111942113,65375.77893183122,82728.33708048923,85120.57136800267,613.340447000597,0.0,9377.43120608793,6762.851915053048,2,0,2.2737367544323206e-13,0.0,5.071829937995062,0.0,True
2025-01-28,27,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,oracle,64454.306484243294,790.3078433338867,4598.109261579852,69842.72358915703,92289.89466755577,90816.06778113006,1123.2232094254541,0.0,6762.851915053048,7480.966284235996,2,0,5.229594535194337e-12,0.0,5.114936666999711,0.0,True
