date,day_index,strategy,load_information_case,year_end_boundary,year_end_soc_kwh,settlement_rule,normal_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,g0_kwh,g_final_kwh,emergency_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,adjustment_count,locked_period_violations,max_balance_residual_kwh,max_simultaneous_cd_kwh2,runtime_seconds,max_x_minus_g_kwh,pass
2025-01-01,0,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,58508.06892382568,1267.9514870888402,75384.38957252995,135160.40998344446,78575.94517410586,81395.69062087862,15561.800448533715,0.0,6000.0,8110.865465597771,2,0,2.2737367544323206e-13,0.0,4.554607883001154,0.0,True
2025-01-02,1,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,55740.383432217575,1286.523981755195,77796.90086526502,134823.8082792378,77003.15962429106,75826.60349158372,16297.5757067656,0.0,8110.865465597771,4604.460482428681,2,0,3.410605131648481e-13,0.0,4.559030704003817,0.0,True
2025-01-03,2,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,41667.18463096419,1273.206850539606,0.0,42940.3914815038,77560.23309756971,74162.72589244272,0.0,3511.386922222221,4604.460482428681,10501.694013766057,3,0,1.1368683772161603e-13,0.0,4.570290379000653,0.0,True
2025-01-04,3,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,42225.22298959682,1162.1804226774568,0.0,43387.403412274274,76477.58071842956,76386.09065528704,0.0,3733.0260086419744,10501.694013766057,10776.160520858115,2,0,1.1368683772161603e-13,0.0,4.550929648998135,0.0,True
2025-01-05,4,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,55987.091049961724,655.5825526029571,80883.03092339136,137525.70452595604,75953.92680642841,77067.6226364329,16399.641912462448,0.0,10776.160520858115,9842.537556354893,3,0,2.2737367544323206e-13,0.0,4.538088790999609,0.0,True
2025-01-06,5,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,53104.20242014726,340.28309700244984,75423.56855665037,128868.05407380007,69852.6909343334,70157.47262871385,15522.320354672844,0.0,9842.537556354893,2192.043749200996,2,0,2.2737367544323206e-13,0.0,4.60172088300169,0.0,True
2025-01-07,6,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,60194.53589045336,2097.825898019179,73297.39347781049,135589.75526628303,79578.25708022958,84123.25268240753,15290.132919716492,0.0,2192.043749200996,5552.3270893720655,2,0,2.2737367544323206e-13,0.0,4.638367170999118,0.0,True
2025-01-08,7,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,68172.79088662479,3156.492768602648,4209.8602126326,75539.14386786004,96773.32007353536,89907.11203607208,1096.5917153883177,0.0,5552.3270893720655,2556.960453417996,2,0,2.2737367544323206e-13,0.0,4.570879879000131,0.0,True
2025-01-09,8,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,72528.36517058406,1231.4843160109508,5616.111610966249,79375.96109756126,96707.21910785077,97468.19204279638,1388.7330885257566,0.0023,2556.960453417996,6089.8737612201685,2,0,9.094947017729282e-13,0.0,4.623239931999706,0.0,True
2025-01-10,9,M1_M6,causal_load_main,A_q2_aligned,1200.0,delivery_time_actual_price,21128.139316774064,1716.9371227593454,4497.27321920456,27342.349658737967,54563.85158202142,48420.15573158451,1648.3601850834557,0.0017666666666666666,6089.8737612201685,7406.882478591074,2,0,1.1368683772161603e-13,0.0,4.544791728003474,0.0,True
