case,eta_c,eta_d,nominal_capacity_kwh,soc_min_kwh,soc_max_kwh,power_limit_kw,grid_limit_kw,purchase_cost_yuan,grid_purchase_kwh,peak_grid_kw,curtailment_kwh,throughput_kwh,soc_observed_min_kwh,soc_observed_max_kwh,pass
eff_A,0.9486832980505138,0.9486832980505138,12000.0,1200.0,10800.0,5000.0,,33801.49554222201,57526.24348088351,8458.827299999999,0.0,37701.14990345338,1200.0,10800.0,True
eff_B,0.9,0.9,12000.0,1200.0,10800.0,5000.0,,35126.948589289634,59482.69899835391,8458.827299999999,0.0,37540.60569835392,1200.0,10800.0,True
cap_minus10,0.9486832980505138,0.9486832980505138,10800.0,1080.0,9720.0,5000.0,,34547.909623028005,57373.566741516246,8444.303100000001,0.0,34800.291855475334,1080.0,9720.0,True
cap_plus10,0.9486832980505138,0.9486832980505138,13200.0,1320.0,11880.0,5000.0,,33092.978427119844,57627.4363660089,8466.968299999999,0.0,39623.81472083575,1320.0,11880.0,True
power_minus10,0.9486832980505138,0.9486832980505138,12000.0,1200.0,10800.0,4500.0,,33827.7602206259,57526.24348088352,7958.8273,0.0,37701.14990345338,1200.0,10800.0,True
power_plus10,0.9486832980505138,0.9486832980505138,12000.0,1200.0,10800.0,5500.0,,33780.87756463241,57526.24348088351,8958.8273,0.0,37701.14990345338,1200.0,10800.0,True
pcc_gmax_3385.1068kw,0.9486832980505138,0.9486832980505138,12000.0,1200.0,10800.0,5000.0,3385.106799913764,40311.916280526595,56615.89788383784,3385.106799913764,0.0,20404.58355958583,1200.0,10800.0,True
pcc_gmax_4653.5369kw,0.9486832980505138,0.9486832980505138,12000.0,1200.0,10800.0,5000.0,4653.5369249353225,35547.70679174902,57329.90125856834,4653.5369249353225,0.0,33970.64767946521,1671.5812736146388,10800.0,True
pcc_gmax_5921.9670kw,0.9486832980505138,0.9486832980505138,12000.0,1200.0,10800.0,5000.0,5921.967049956882,33856.7073553361,57526.24348088351,5921.967049956882,0.0,37701.14990345338,1200.0,10800.0,True
pcc_gmax_7190.3972kw,0.9486832980505138,0.9486832980505138,12000.0,1200.0,10800.0,5000.0,7190.3971749784405,33824.395081056675,57526.24348088351,7190.3971749784405,0.0,37701.14990345338,1200.0,10800.0,True
pcc_gmax_8458.8273kw,0.9486832980505138,0.9486832980505138,12000.0,1200.0,10800.0,5000.0,8458.827299999999,33801.49554222201,57526.24348088351,8458.827299999999,0.0,37701.14990345338,1200.0,10800.0,True
