metric,value,unit,meaning
official_model,M1,1,正式方案；M2–M4 仅对照
grid_purchase_kwh,57526.24348088351,kWh,全天计划购电量合计
purchase_cost_yuan,33801.49554222201,yuan,全天购电费
peak_grid_kw,8458.827299999999,kW,购电功率峰值 max(g_t)/Δ
curtailment_kwh,0.0,kWh,全天弃光量
throughput_kwh,37701.14990345338,kWh,充放电吞吐量 Q=sum(c+d)
soc_min_kwh,1200.0,kWh,SOC 最小值含 E0
soc_max_kwh,10800.0,kWh,SOC 最大值含 E0
E0_kwh,6000.0,kWh,0:00 储电量
E144_kwh,6000.0,kWh,24:00 储电量
max_balance_residual_kwh,2.2737367544323206e-13,kWh,能量平衡残差绝对值最大
max_simultaneous_charge_discharge,0.0,kWh^2,max(c_t * d_t)
max_s_minus_pv_kwh,0.0,kWh,max(s_t-P_t)，应≤0
eta_rt,0.9,1,主方案往返效率
eta_c,0.9486832980505138,1,充电效率
eta_d,0.9486832980505138,1,放电效率
c_max_kwh,833.3333333333333,kWh,每时段充电上限 power_limit_kw*Δ
d_max_kwh,833.3333333333333,kWh,每时段放电上限
power_limit_kw,5000.0,kW,充放电功率上限
grid_limit_kw,,kW,主方案无上限
eps_C,1e-06,yuan,词典序成本容差（仅对照）
table2_energy_side,pcc_ac_bus,1,表2计量侧，待队长最终签收
table2_charge_var,c_t,1,充电量汇总变量
table2_discharge_var,d_t,1,放电量汇总变量
row_order_policy,attachment_raw_order,1,附件原始行序口径（队长确认）
